copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt147.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000001 90000000858 6438154122 76429325966 519266587 0 378606531 0 52250578 0 26125289 6688073984 70.869382
1 apt173.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000000 90000000498 7095006474 71211968235 3411546652 0 610087658 0 50185302 0 25092651 6423718656 68.068172
1 apt140.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000002 90000002275 6594542647 72764978847 3075118599 0 555515930 0 46225354 0 23112677 5916845312 62.697149
1 apt143.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000001 90000001137 7260195150 71307987353 3316546221 0 576677302 0 50157268 0 25078634 6420130304 68.030149
1 apt150.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000001 90000000733 2821063365 76331167504 3300290060 0 550658653 0 48354202 0 24177101 6189337856 65.584584
1 apt178.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000004 90000003848 3198122134 74487851643 3702088656 0 623259583 0 55882380 0 27941190 7152944640 75.795329
1 apt154.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000001 90000001057 2648112698 77358048621 2961384570 0 507523651 0 44917904 0 22458952 5749491712 60.923806
1 apt172.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000005 90000005138 2890412410 76165519953 3243723887 0 551430991 0 49044960 0 24522480 6277754880 66.521484
1 apt144.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000006 90000006134 6443668987 73089822498 3063434864 0 500291384 0 45900922 0 22950461 5875318016 62.257110
1 apt180.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000006 90000006265 3068670814 74849638099 3591888133 0 620098898 0 54001318 0 27000659 6912168704 73.243975
1 apt188.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000006 90000006368 8059079911 68980545753 3727366101 0 645091853 0 56184310 0 28092155 7191591680 76.204848
1 apt159.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000002 90000002098 2696479596 77006700881 2988158613 0 520579445 0 45179296 0 22589648 5782949888 61.278342
1 apt162.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000004 90000003610 7540268816 70336433316 3498921040 0 586483384 0 52661276 0 26330638 6740643328 71.426427
1 apt160.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000003 90000002503 2901324754 76319778664 3198418144 0 536648111 0 48489850 0 24244925 6206700800 65.768568
1 apt155.apt.emulab.net 2 128 0 0 90.000000 5.000000 90.000006 90000005623 7227245748 71469223844 3308715834 0 558485013 0 50127364 0 25063682 6416302592 67.989589
