copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt147.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000003 90000003063 244109566 88935145377 0 120630507 30343535 0 33167358 33167358 1842631 34199231360 5758.221875
0 apt154.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000014 90000014386 358391927 88752090019 0 139389387 33272632 0 33100596 33100596 1838922 34130392320 5746.631250
0 apt143.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000058 90000057597 328288577 88741507076 0 136055835 32911579 0 33113304 33113304 1839628 34143495680 5748.837500
0 apt188.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000086 90000086464 337759840 88734475076 0 134075590 32930404 0 33078510 33078510 1837695 34107619200 5742.796875
0 apt178.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000066 90000066326 346944870 88761410545 0 126963651 33365180 0 33035832 33035832 1835324 34063613440 5735.387500
0 apt159.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000152 90000151632 361721445 88739851397 0 137236308 33301086 0 33092442 33092442 1838469 34121984640 5745.215625
0 apt172.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000079 90000078502 350157880 88745486772 0 136725354 33282199 0 33133500 33133500 1840750 34164320000 5752.343750
0 apt162.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000126 90000126318 354548596 88747293143 0 133333332 32958576 0 33015294 33015294 1834183 34042436480 5731.821875
0 apt150.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000048 90000047940 349287074 88751660905 0 125244626 33943129 0 32918958 32918958 1828831 33943103360 5715.096875
0 apt180.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000138 90000138443 331816381 88741615150 0 133628383 33325659 0 33079842 33079842 1837769 34108992640 5743.028125
0 apt155.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000033 90000033044 348208630 88759991710 0 129845731 33074812 0 32947182 32947182 1830399 33972205440 5719.996875
0 apt160.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000168 90000167734 339458522 88736178556 0 130154551 33284069 0 33102486 33102486 1839027 34132341120 5746.959375
0 apt144.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000103 90000102683 354289985 88767469046 0 131859549 32841439 0 33103026 33103026 1839057 34132897920 5747.053125
0 apt140.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000035 90000035234 360957800 88743064216 0 135295720 32895945 0 33095358 33095358 1838631 34124991360 5745.721875
0 apt173.apt.emulab.net 1 16384 17 128 90.000000 5.000000 90.000112 90000111888 355610334 88748831452 0 129579934 32831563 0 33133140 33133140 1840730 34163948800 5752.281250
