timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200285149,#NC,#NC,#NC
0.300471259,#NC,#NC,#NC
0.400662937,#NC,#NC,#NC
0.500853719,#NC,#NC,#NC
0.601067237,#NC,#NC,#NC
0.701266820,#NC,#NC,#NC
0.801438184,335.586425781,336.080871582,339.791748047
0.901584148,#NC,#NC,#NC
1.001703686,#NC,#NC,#NC
1.101815166,#NC,#NC,#NC
1.201920810,#NC,#NC,#NC
1.302038629,#NC,#NC,#NC
1.402215739,#NC,#NC,#NC
1.502334168,0.0267333984375,0.0244750976562,1.70910644531
1.602446280,#NC,#NC,#NC
1.702560997,#NC,#NC,#NC
1.802669480,#NC,#NC,#NC
1.902775634,#NC,#NC,#NC
2.002882071,#NC,#NC,#NC
2.102998083,0.0733032226562,0.0267333984375,1.43737792969
2.203114941,#NC,#NC,#NC
2.303221355,#NC,#NC,#NC
2.403332233,#NC,#NC,#NC
2.503442786,#NC,#NC,#NC
2.603548652,#NC,#NC,#NC
2.703669269,#NC,#NC,#NC
2.803818724,0.0130004882812,0.0427856445312,1.54425048828
2.903922400,#NC,#NC,#NC
3.004032279,#NC,#NC,#NC
3.104134606,#NC,#NC,#NC
3.204235732,#NC,#NC,#NC
3.304343068,#NC,#NC,#NC
3.404453036,0.133605957031,0.151977539062,1.65887451172
3.504561617,#NC,#NC,#NC
3.604663333,#NC,#NC,#NC
3.704778104,#NC,#NC,#NC
3.804905478,#NC,#NC,#NC
3.905016695,#NC,#NC,#NC
4.005126268,#NC,#NC,#NC
4.105239925,0.0473022460938,0.0458374023438,1.5458984375
4.205343287,#NC,#NC,#NC
4.305446282,#NC,#NC,#NC
4.405553146,#NC,#NC,#NC
4.505657015,#NC,#NC,#NC
4.605760434,#NC,#NC,#NC
4.705872919,#NC,#NC,#NC
4.805986206,0.220764160156,0.1787109375,1.63830566406
4.906090328,#NC,#NC,#NC
5.006194225,#NC,#NC,#NC
5.106302984,#NC,#NC,#NC
5.206413092,#NC,#NC,#NC
5.306526414,#NC,#NC,#NC
5.406638375,0.0244140625,0.0145263671875,1.44097900391
5.506741835,#NC,#NC,#NC
5.606845031,#NC,#NC,#NC
5.706963666,#NC,#NC,#NC
5.807079760,#NC,#NC,#NC
5.907189907,#NC,#NC,#NC
6.007295560,#NC,#NC,#NC
6.107409175,0.0640869140625,0.0863037109375,1.62072753906
6.207512344,#NC,#NC,#NC
6.307615398,#NC,#NC,#NC
6.407730213,#NC,#NC,#NC
6.507832994,#NC,#NC,#NC
6.607936630,#NC,#NC,#NC
6.708053801,0.0152587890625,0.0091552734375,1.49768066406
6.808170119,#NC,#NC,#NC
6.908283763,#NC,#NC,#NC
7.008393494,#NC,#NC,#NC
7.108501404,#NC,#NC,#NC
7.208609821,#NC,#NC,#NC
7.308724932,#NC,#NC,#NC
7.408842240,0.011474609375,0.0595703125,1.39245605469
7.508956378,#NC,#NC,#NC
7.609070368,#NC,#NC,#NC
7.709202509,#NC,#NC,#NC
7.809341659,#NC,#NC,#NC
7.909463316,#NC,#NC,#NC
8.009576818,#NC,#NC,#NC
8.109697174,0.0603637695312,0.0519409179688,1.47955322266
8.209805391,#NC,#NC,#NC
8.309914010,#NC,#NC,#NC
8.410022510,#NC,#NC,#NC
8.510093139,#NC,#NC,#NC
8.610202358,#NC,#NC,#NC
8.710325538,0.0252075195312,0.0427856445312,1.42211914062
8.810862606,#NC,#NC,#NC
8.910984787,#NC,#NC,#NC
9.011109143,#NC,#NC,#NC
9.111231736,#NC,#NC,#NC
9.211354660,#NC,#NC,#NC
9.311475406,#NC,#NC,#NC
9.411608821,40.0494384766,40.2368774414,518.426147461
9.511729446,#NC,#NC,#NC
9.611850720,#NC,#NC,#NC
9.711974304,#NC,#NC,#NC
9.812092135,#NC,#NC,#NC
9.912212127,#NC,#NC,#NC
10.012344285,41.1696166992,41.2993164062,517.37310791
10.112467402,#NC,#NC,#NC
10.212588705,#NC,#NC,#NC
10.312712561,#NC,#NC,#NC
10.412835239,#NC,#NC,#NC
10.512956579,#NC,#NC,#NC
10.613078687,#NC,#NC,#NC
10.713207506,39.2689819336,39.3293457031,520.421325684
10.813327498,#NC,#NC,#NC
10.913449137,#NC,#NC,#NC
11.013571208,#NC,#NC,#NC
11.113693800,#NC,#NC,#NC
11.213826540,#NC,#NC,#NC
11.313959835,41.4083862305,40.7396240234,516.99621582
11.414092319,39.0715942383,39.0485839844,521.452087402
11.514214248,#NC,#NC,#NC
11.614333419,#NC,#NC,#NC
11.714478541,#NC,#NC,#NC
11.814601965,#NC,#NC,#NC
11.914724640,#NC,#NC,#NC
12.014856340,40.8918457031,41.0177612305,516.279663086
12.114976574,#NC,#NC,#NC
12.215097766,#NC,#NC,#NC
12.315218909,#NC,#NC,#NC
12.415341982,#NC,#NC,#NC
12.515463812,#NC,#NC,#NC
12.615584937,#NC,#NC,#NC
12.715717826,42.6223754883,42.5294799805,514.213928223
12.815840474,#NC,#NC,#NC
12.915961991,#NC,#NC,#NC
13.016081399,#NC,#NC,#NC
13.116202527,#NC,#NC,#NC
13.216326100,#NC,#NC,#NC
13.316456945,40.2679443359,40.3177490234,517.89831543
13.416578900,#NC,#NC,#NC
13.516701802,#NC,#NC,#NC
13.616822060,#NC,#NC,#NC
13.716941844,#NC,#NC,#NC
13.817062514,#NC,#NC,#NC
13.917181591,#NC,#NC,#NC
14.017310646,39.1632080078,39.3259887695,520.723999023
14.117432698,#NC,#NC,#NC
14.217555316,#NC,#NC,#NC
14.317677133,#NC,#NC,#NC
14.417797918,#NC,#NC,#NC
14.517930270,#NC,#NC,#NC
14.618058007,39.3812866211,39.3755493164,520.085266113
14.718191390,46.4053344727,46.4328613281,505.758483887
14.818311393,#NC,#NC,#NC
14.918435065,#NC,#NC,#NC
15.018555839,#NC,#NC,#NC
15.118677650,#NC,#NC,#NC
15.218800852,#NC,#NC,#NC
15.318930760,42.571472168,42.012878418,514.336608887
15.419053016,#NC,#NC,#NC
15.519178296,#NC,#NC,#NC
15.619298658,#NC,#NC,#NC
15.719422608,#NC,#NC,#NC
15.819542206,#NC,#NC,#NC
15.919666664,#NC,#NC,#NC
16.019800636,40.2228393555,40.014465332,518.566894531
16.119921478,#NC,#NC,#NC
16.220042892,#NC,#NC,#NC
16.320163463,#NC,#NC,#NC
16.420284223,#NC,#NC,#NC
16.520403511,#NC,#NC,#NC
16.620535274,42.9685058594,42.9503173828,513.278198242
16.720658760,#NC,#NC,#NC
16.820781507,#NC,#NC,#NC
16.920901205,#NC,#NC,#NC
17.021018403,#NC,#NC,#NC
17.121142492,#NC,#NC,#NC
17.221265083,#NC,#NC,#NC
17.321394925,42.0241088867,42.0037231445,514.096862793
17.421517740,#NC,#NC,#NC
17.521640736,#NC,#NC,#NC
17.621761675,#NC,#NC,#NC
17.721881279,#NC,#NC,#NC
17.822002493,#NC,#NC,#NC
