timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.902046717,2.61895751953,2.74230957031,916.463317871
1.703072864,0.0618896484375,0.105407714844,1.45068359375
2.403980273,0.0137329101562,0.058837890625,1.39483642578
3.204947029,0.111450195312,0.0587768554688,1.47100830078
4.005796668,0.110717773438,0.103149414062,1.60778808594
4.706530444,0.0153198242188,0.0565185546875,1.40454101562
5.507604823,0.0626831054688,0.104614257812,1.43438720703
6.308571882,0.13818359375,0.0687866210938,1.41455078125
7.009372111,0.08203125,0.0763549804688,1.62756347656
7.109510280,2.25946044922,1.98956298828,3.99005126953
7.810317302,0.00994873046875,0.0496826171875,1.32208251953
8.611286964,1.31140136719,1.34967041016,3.05523681641
9.312195563,0.526977539062,0.429077148438,1.99523925781
9.412334124,2.47741699219,2.25439453125,5.8935546875
10.113253839,42.2858886719,42.3251953125,538.251220703
10.914237677,42.5724487305,42.7280273438,536.810302734
11.615104347,42.6325683594,42.5703125,536.996643066
11.715231785,42.9627685547,42.9580078125,537.460083008
12.416073779,43.1809082031,43.1604003906,535.929992676
13.217043375,41.1907958984,41.3547363281,539.480102539
13.917889338,43.2785644531,43.037902832,535.352478027
14.018017613,42.0102539062,42.1325073242,538.776794434
14.718864718,43.984375,43.9769287109,534.16192627
15.519824762,44.4410400391,44.1561889648,533.571777344
16.220683134,42.483581543,42.1267089844,537.583496094
16.320812601,42.4131469727,42.607421875,537.777404785
17.021694780,43.166809082,43.1929931641,535.94732666
17.822660522,41.2973632812,41.4478759766,539.370239258
18.523530037,42.4090576172,42.4700317383,536.526245117
18.623661020,42.6915893555,42.4429321289,537.963317871
19.324516466,42.1347045898,42.1307373047,537.751281738
20.125510767,42.2451782227,42.3563232422,537.391296387
20.826362964,40.7632446289,41.9801025391,535.453430176
20.926489631,42.7172851562,42.6831054688,537.294921875
21.627334077,43.5418701172,43.5288085938,535.447937012
22.428297527,41.3150024414,41.1390991211,539.373046875
23.229251008,41.1799316406,41.2806396484,539.485351562
23.930114531,43.116027832,43.1436157227,535.937133789
24.731081739,41.5926513672,41.6048583984,539.056884766
25.532045342,40.9485473633,40.9748535156,540.672851562
26.232891128,39.5545043945,39.4801025391,543.483215332
27.033876545,42.0812988281,42.1878662109,538.557189941
27.834846479,42.2847900391,42.1455688477,537.723754883
28.535694515,42.6738891602,42.5574951172,537.000976562
29.336649963,42.165222168,42.3024291992,537.11706543
30.137638609,40.9042358398,41.1051025391,540.124145508
30.838490377,42.0503540039,42.1166992188,537.739135742
31.639452824,43.3170776367,43.4590454102,535.374023438
32.440418859,41.3678588867,41.4061889648,539.63848877
33.141251271,41.581237793,41.510925293,538.918945312
33.942234399,41.1180419922,41.3145141602,539.485534668
34.743202792,41.6945800781,41.6473388672,538.751953125
35.444048776,42.3068847656,42.3418579102,537.75177002
36.245018414,42.4240112305,42.4598388672,537.149291992
37.046046131,42.8033447266,42.7388916016,543.189941406
37.746992712,44.2556152344,43.9237670898,540.926147461
38.548063195,44.662109375,44.3959960938,539.363708496
39.349095694,42.0346069336,42.3942871094,537.773681641
40.049948445,40.9187011719,40.9027709961,540.444152832
40.850917552,41.0191650391,40.8428955078,540.44140625
41.651888040,42.8210449219,42.7943725586,536.242004395
42.352734455,41.5829467773,41.6164550781,538.778625488
43.153713578,41.9863891602,42.0460205078,538.160644531
