timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.701229634,2.69171142578,4.09887695312,923.040893555
1.301975629,0.0488891601562,1.33435058594,0.0932006835938
1.802579203,238.894287109,237.665588379,241.444519043
2.403239158,0.0167846679688,1.28851318359,0.122253417969
3.003985031,0.187194824219,1.39697265625,0.456726074219
3.504558202,0.225280761719,1.48083496094,0.734619140625
4.105318806,0.0741577148438,1.39245605469,0.162658691406
4.705987901,0.05419921875,1.27319335938,0.202392578125
5.206651285,0.0921630859375,1.36437988281,0.2822265625
5.306780548,1.234375,2.50842285156,3.22833251953
5.807462827,0.03515625,1.32434082031,0.133666992188
6.408241702,0.103088378906,1.31713867188,0.169616699219
6.908903819,0.566955566406,1.85559082031,0.792724609375
7.009023478,5.99035644531,6.93963623047,10.4559326172
7.509598989,0.00921630859375,1.32745361328,0.155090332031
8.110463737,0.150573730469,1.38330078125,0.365905761719
8.611055594,0.051513671875,1.36450195312,0.046875
8.711202831,0.098388671875,1.43109130859,0.275268554688
9.211857611,0.0993041992188,1.39709472656,0.352111816406
9.812614370,0.00689697265625,1.27655029297,0.106872558594
10.313254018,0.410278320312,1.71697998047,0.810119628906
10.413382918,0.333984375,1.59057617188,0.7587890625
10.914056720,41.9215698242,43.1978759766,522.127746582
11.514777079,41.0336914062,42.270324707,522.010986328
12.115498146,41.3974609375,42.7473754883,521.059753418
12.616111817,41.0433349609,42.4357910156,521.36706543
13.216834746,40.3773193359,41.7128295898,523.230224609
13.817554786,40.4523925781,41.9293212891,522.666687012
14.318158952,40.5655517578,41.8764648438,522.514892578
14.918879946,40.5208129883,41.7647094727,522.684570312
15.519602554,40.7554321289,42.1312255859,521.85925293
16.020244365,40.9859008789,42.1593017578,522.159484863
16.620969373,41.2253417969,42.5344848633,521.746887207
17.221695864,41.353515625,42.6487426758,521.110717773
17.722301321,40.6159057617,41.9202270508,522.602478027
18.323025255,41.2088012695,42.4373779297,521.597839355
18.923760750,41.1477661133,42.4828491211,521.66217041
19.424383597,40.8071899414,42.0270385742,522.542480469
20.025130456,40.3809814453,41.7129516602,523.005493164
20.625867043,41.4284057617,42.8171386719,521.066223145
21.126477142,41.0593261719,42.2772216797,521.963989258
21.727205250,40.8888549805,42.0483398438,522.338806152
22.327953173,41.4349975586,42.6314086914,521.040039062
22.828586271,41.3895874023,42.5603027344,521.496948242
23.429324770,41.0211181641,42.4629516602,521.978088379
24.030059134,40.7839355469,42.1342163086,522.339904785
24.531174599,40.8155517578,42.1342163086,522.082336426
25.131913383,41.1125488281,42.4152832031,521.622680664
25.732647738,41.2717895508,42.4849853516,521.377624512
26.233264757,40.5003662109,41.9437255859,522.600585938
26.834016206,41.3594970703,42.7467651367,521.143737793
27.434764362,40.3791503906,41.6018066406,523.115783691
27.935386834,40.8672485352,42.0734863281,522.267578125
28.536128950,41.779296875,43.0159301758,520.367919922
29.136855266,40.9179077148,42.2178955078,521.871948242
29.637459488,41.176574707,42.3630981445,521.592163086
30.238201180,41.0766601562,42.2431640625,521.948974609
30.838929766,41.1481933594,42.3151245117,521.634887695
31.339535534,41.4250488281,42.9558105469,520.825439453
31.940295455,40.9504394531,42.321472168,521.84588623
32.541030690,40.5907592773,42.0740966797,522.420959473
33.041653687,40.3563232422,41.6329956055,523.141113281
33.642386490,40.8340454102,42.173828125,522.118652344
34.243126765,40.8579101562,42.1036987305,522.265686035
34.743755359,40.3504638672,41.5935668945,523.399169922
34.843889363,41.5718383789,43.1441650391,521.987365723
35.344502982,41.1540527344,42.4221801758,521.408325195
35.945230629,40.7489013672,42.1050415039,522.124633789
36.445843814,39.8843383789,41.2229614258,523.939147949
36.545968128,40.8731689453,42.3822021484,522.533325195
37.046574845,40.2869873047,41.5311889648,523.52545166
37.647300204,40.3015136719,41.4089355469,523.286804199
38.147924028,41.8517456055,43.1531982422,519.566467285
38.248048476,41.0894165039,42.3154296875,522.510070801
38.748664808,41.4728393555,42.5645751953,521.38873291
39.349388468,41.2161254883,42.4221801758,521.374938965
39.850024178,41.2484130859,42.1986083984,520.662658691
39.950153816,41.6931762695,42.9077758789,521.04864502
40.450755412,41.4547119141,42.7432861328,520.886230469
