copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt173.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000002 90000001914 2844947266 70737731469 10971547067 0 227011502 0 157943630 0 12149510 20216784640 214.224759
1 apt147.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000022 90000022474 1889365118 77889405574 5704238336 0 155942141 0 137410923 0 10570071 17588598144 186.375492
1 apt144.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000001 90000000894 2504434385 73095871542 9629628285 0 198224834 0 138274344 0 10636488 17699116032 187.546582
1 apt150.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000013 90000013103 1262223390 75783858708 8902395320 0 176777143 0 95738357 0 7364489 12254509696 129.853457
1 apt188.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000014 90000014046 2718169909 71867185660 10240957274 0 211748922 0 148034185 0 11387245 18948375680 200.784214
1 apt178.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000017 90000016640 1341025379 73862852769 9911255392 0 204955414 0 142500371 0 10961567 18240047488 193.278498
1 apt155.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000027 90000027257 2487633850 73427500456 9548989020 0 189177884 0 130904631 0 10069587 16755792768 177.550769
1 apt172.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000001 90000001110 1572999491 72240874876 10796914659 0 221673082 0 154500255 0 11884635 19776032640 209.554382
1 apt160.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000036 90000036017 1259450252 75697096826 8742630378 0 179848519 0 125182837 0 9629449 16023403136 169.790089
1 apt140.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000003 90000003367 2627899863 73221331777 9497273847 0 195089719 0 136664671 0 10512667 17493077888 185.363323
1 apt154.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000001 90000001006 1374768014 74332799799 9522210123 0 196152646 0 136314997 0 10485769 17448319616 184.889048
1 apt143.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000015 90000015293 2417329496 74309777208 8891426984 0 183317282 0 127950732 0 9842364 16377693696 173.544287
1 apt180.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000029 90000029170 1341180659 73984061395 9836826730 0 201933799 0 141001783 0 10846291 18048228224 191.245908
1 apt162.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000026 90000025806 2381500811 73743435006 9258545746 0 189597875 0 132153645 0 10165665 16915666560 179.244853
1 apt159.apt.emulab.net 13 128 0 0 90.000000 5.000000 90.000034 90000034477 1380150353 74632946283 9373736062 0 194172325 0 134134962 0 10318074 17169275136 181.932186
