copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt155.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000001 90000000577 3255132641 80981095537 0 799100473 223605308 0 162402632 162402632 11600188 20787536896 220.272667
0 apt188.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000012 90000011975 3561160761 79962621784 0 884337565 247614270 0 183984500 183984500 13141750 23550016000 249.544949
0 apt147.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000001 90000000820 2737210697 81989271675 0 699944692 183806453 0 169999606 169999606 12142829 21759949568 230.576723
0 apt160.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000004 90000004152 2328405020 81939864726 0 789673002 226484094 0 169008042 169008042 12072003 21633029376 229.231828
0 apt150.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000016 90000016287 2174034201 82268589065 0 835613176 224099801 0 144546598 144546598 10324757 18501964544 196.053871
0 apt140.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000007 90000006659 3768942836 79940591290 0 878400235 246300220 0 182150220 182150220 13010730 23315228160 247.057048
0 apt180.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000014 90000014305 2394242299 81460044320 0 856236964 241965835 0 180390910 180390910 12885065 23090036480 244.670831
0 apt173.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000016 90000015835 3744108516 79989391943 0 839762481 247389908 0 182772198 182772198 13055157 23394841344 247.900659
0 apt159.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000015 90000015150 2490076091 81409361043 0 855493634 242297984 0 179625768 179625768 12830412 22992098304 243.633040
0 apt143.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000018 90000018162 3327292970 80675551800 0 867058580 230208921 0 171193666 171193666 12228119 21912789248 232.196270
0 apt144.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000019 90000018899 3346475832 80919742957 0 814176888 224691945 0 166072928 166072928 11862352 21257334784 225.250825
0 apt162.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000002 90000002014 3159778512 81015367285 0 813939269 222561291 0 164883488 164883488 11777392 21105086464 223.637543
0 apt154.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000001 90000000973 2269323383 82128239196 0 809240202 221234068 0 163923382 163923382 11708813 20982192896 222.335316
0 apt178.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000022 90000021706 2289753711 81734423150 0 844159194 235571719 0 175964250 175964250 12568875 22523424000 238.666789
0 apt172.apt.emulab.net 14 128 0 0 90.000000 5.000000 90.000006 90000005793 2478232151 81373365864 0 883294382 243390689 0 180295430 180295430 12878245 23077815040 244.541328
