timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
0.200431795,#NC#NC#NC#NC#NC#NC#NC#NC
0.300655096,#NC#NC#NC#NC#NC#NC#NC#NC
0.400900535,#NC#NC#NC#NC#NC#NC#NC#NC
0.501150994,#NC#NC#NC#NC#NC#NC#NC#NC
0.601424103,#NC#NC#NC#NC#NC#NC#NC#NC
0.701695820,#NC#NC#NC#NC#NC#NC#NC#NC
0.801946771,#NC#NC#NC#NC#NC#NC#NC#NC
0.902172096,#NC#NC#NC#NC#NC#NC#NC#NC
1.002609263,#NC#NC#NC#NC#NC#NC#NC#NC
1.102776855,#NC#NC#NC#NC#NC#NC#NC#NC
1.202954804,#NC#NC#NC#NC#NC#NC#NC#NC
1.303135921,#NC#NC#NC#NC#NC#NC#NC#NC
1.403322453,#NC#NC#NC#NC#NC#NC#NC#NC
1.503513395,#NC#NC#NC#NC#NC#NC#NC#NC
1.603690663,#NC#NC#NC#NC#NC#NC#NC#NC
1.703880884,#NC#NC#NC#NC#NC#NC#NC#NC
1.804091099,#NC#NC#NC#NC#NC#NC#NC#NC
1.904275517,#NC#NC#NC#NC#NC#NC#NC#NC
2.004443251,#NC#NC#NC#NC#NC#NC#NC#NC
2.104626294,#NC#NC#NC#NC#NC#NC#NC#NC
2.204793582,#NC#NC#NC#NC#NC#NC#NC#NC
2.304968446,#NC#NC#NC#NC#NC#NC#NC#NC
2.405151818,#NC#NC#NC#NC#NC#NC#NC#NC
2.505341296,#NC#NC#NC#NC#NC#NC#NC#NC
2.605518609,#NC#NC#NC#NC#NC#NC#NC#NC
2.705693154,#NC#NC#NC#NC#NC#NC#NC#NC
2.805888333,#NC#NC#NC#NC#NC#NC#NC#NC
2.906094188,#NC#NC#NC#NC#NC#NC#NC#NC
3.006290510,#NC#NC#NC#NC#NC#NC#NC#NC
3.106490516,0.18798828125
3.206672371,#NC#NC#NC#NC#NC#NC#NC#NC
3.306891138,#NC#NC#NC#NC#NC#NC#NC#NC
3.407078553,#NC#NC#NC#NC#NC#NC#NC#NC
3.507274655,#NC#NC#NC#NC#NC#NC#NC#NC
3.607469988,#NC#NC#NC#NC#NC#NC#NC#NC
3.707658597,#NC#NC#NC#NC#NC#NC#NC#NC
3.807867855,#NC#NC#NC#NC#NC#NC#NC#NC
3.908079282,#NC#NC#NC#NC#NC#NC#NC#NC
4.008253069,#NC#NC#NC#NC#NC#NC#NC#NC
4.108425038,#NC#NC#NC#NC#NC#NC#NC#NC
4.208615104,#NC#NC#NC#NC#NC#NC#NC#NC
4.308787725,#NC#NC#NC#NC#NC#NC#NC#NC
4.408959738,#NC#NC#NC#NC#NC#NC#NC#NC
4.509140878,#NC#NC#NC#NC#NC#NC#NC#NC
4.609325577,#NC#NC#NC#NC#NC#NC#NC#NC
4.709506307,#NC#NC#NC#NC#NC#NC#NC#NC
4.809704275,#NC#NC#NC#NC#NC#NC#NC#NC
4.909912437,#NC#NC#NC#NC#NC#NC#NC#NC
5.010100790,#NC#NC#NC#NC#NC#NC#NC#NC
5.110294431,#NC#NC#NC#NC#NC#NC#NC#NC
5.210572496,#NC#NC#NC#NC#NC#NC#NC#NC
5.310762222,#NC#NC#NC#NC#NC#NC#NC#NC
5.410950240,#NC#NC#NC#NC#NC#NC#NC#NC
5.511144415,#NC#NC#NC#NC#NC#NC#NC#NC
5.611336169,#NC#NC#NC#NC#NC#NC#NC#NC
5.711532073,#NC#NC#NC#NC#NC#NC#NC#NC
5.811745586,#NC#NC#NC#NC#NC#NC#NC#NC
5.911954028,#NC#NC#NC#NC#NC#NC#NC#NC
6.012157201,0.155883789062
6.112334640,#NC#NC#NC#NC#NC#NC#NC#NC
6.212518461,#NC#NC#NC#NC#NC#NC#NC#NC
6.312694541,#NC#NC#NC#NC#NC#NC#NC#NC
6.412880677,#NC#NC#NC#NC#NC#NC#NC#NC
6.513071171,#NC#NC#NC#NC#NC#NC#NC#NC
6.613254953,#NC#NC#NC#NC#NC#NC#NC#NC
6.713432174,#NC#NC#NC#NC#NC#NC#NC#NC
6.813634537,#NC#NC#NC#NC#NC#NC#NC#NC
6.913827306,#NC#NC#NC#NC#NC#NC#NC#NC
7.014004425,#NC#NC#NC#NC#NC#NC#NC#NC
7.114182846,#NC#NC#NC#NC#NC#NC#NC#NC
7.214636842,#NC#NC#NC#NC#NC#NC#NC#NC
7.314813567,#NC#NC#NC#NC#NC#NC#NC#NC
7.414995369,#NC#NC#NC#NC#NC#NC#NC#NC
7.515179534,#NC#NC#NC#NC#NC#NC#NC#NC
7.615362994,#NC#NC#NC#NC#NC#NC#NC#NC
7.715554915,#NC#NC#NC#NC#NC#NC#NC#NC
7.815761208,#NC#NC#NC#NC#NC#NC#NC#NC
7.915962823,#NC#NC#NC#NC#NC#NC#NC#NC
8.016156625,#NC#NC#NC#NC#NC#NC#NC#NC
8.116333285,#NC#NC#NC#NC#NC#NC#NC#NC
8.216510334,#NC#NC#NC#NC#NC#NC#NC#NC
8.316687141,#NC#NC#NC#NC#NC#NC#NC#NC
8.416870490,#NC#NC#NC#NC#NC#NC#NC#NC
8.517057619,#NC#NC#NC#NC#NC#NC#NC#NC
8.617242072,#NC#NC#NC#NC#NC#NC#NC#NC
