copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt162.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000006 90000006216 369112373 89094780267 0 94665883 24934153 0 15524520 15524520 1411320 37574983680 2695.229167
0 apt178.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000013 90000012547 294841811 89148590867 0 88013047 25135450 0 15533518 15533518 1412138 37596762112 2696.791319
0 apt155.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000068 90000068063 368707345 89089969292 0 91982349 25514530 0 15534090 15534090 1412190 37598146560 2696.890625
0 apt160.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000096 90000095607 282754295 89160723327 0 89861117 25151212 0 15534068 15534068 1412188 37598093312 2696.886806
0 apt143.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000015 90000014903 346445419 89105828294 0 84231766 24930458 0 15533892 15533892 1412172 37597667328 2696.856250
0 apt188.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000053 90000052734 351104326 89103234809 0 92044576 24934184 0 15533551 15533551 1412141 37596841984 2696.797049
0 apt144.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000023 90000023308 378430048 89090975442 0 91761279 24923817 0 15534365 15534365 1412215 37598812160 2696.938368
0 apt147.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000080 90000079997 265115469 89278921719 0 36365472 35623861 0 15533969 15533969 1412179 37597853696 2696.869618
0 apt140.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000080 90000079514 375385438 89084362958 0 92505490 24911218 0 15533716 15533716 1412156 37597241344 2696.825694
0 apt159.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000107 90000107097 301097105 89137460536 0 89251448 25094129 0 15533749 15533749 1412159 37597321216 2696.831424
0 apt172.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000115 90000114815 296680240 89140939013 0 89550862 25027993 0 15533562 15533562 1412142 37596868608 2696.798958
0 apt180.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000125 90000124502 280637258 89158677364 0 88774285 25102029 0 15533650 15533650 1412150 37597081600 2696.814236
0 apt150.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000045 90000045110 322428945 89066752726 0 90341017 28109368 0 15491399 15491399 1408309 37494818816 2689.478993
0 apt173.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000036 90000035553 365918774 89093005233 0 91257719 24862743 0 15533089 15533089 1412099 37595723776 2696.716840
0 apt154.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000149 90000149451 295173589 89142460836 0 90857314 25043663 0 15533782 15533782 1412162 37597401088 2696.837153
