timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
0.200500101,#NC#NC#NC#NC#NC#NC#NC#NC
0.300774288,#NC#NC#NC#NC#NC#NC#NC#NC
0.401000596,#NC#NC#NC#NC#NC#NC#NC#NC
0.501243014,#NC#NC#NC#NC#NC#NC#NC#NC
0.601506236,#NC#NC#NC#NC#NC#NC#NC#NC
0.701767682,#NC#NC#NC#NC#NC#NC#NC#NC
0.802025224,#NC#NC#NC#NC#NC#NC#NC#NC
0.902252636,#NC#NC#NC#NC#NC#NC#NC#NC
1.002453489,#NC#NC#NC#NC#NC#NC#NC#NC
1.102639989,#NC#NC#NC#NC#NC#NC#NC#NC
1.202831254,#NC#NC#NC#NC#NC#NC#NC#NC
1.303291973,#NC#NC#NC#NC#NC#NC#NC#NC
1.403463141,#NC#NC#NC#NC#NC#NC#NC#NC
1.503662100,#NC#NC#NC#NC#NC#NC#NC#NC
1.603868032,#NC#NC#NC#NC#NC#NC#NC#NC
1.704054609,#NC#NC#NC#NC#NC#NC#NC#NC
1.804253185,#NC#NC#NC#NC#NC#NC#NC#NC
1.904452756,#NC#NC#NC#NC#NC#NC#NC#NC
2.004637162,#NC#NC#NC#NC#NC#NC#NC#NC
2.104832250,#NC#NC#NC#NC#NC#NC#NC#NC
2.205027883,#NC#NC#NC#NC#NC#NC#NC#NC
2.305214965,#NC#NC#NC#NC#NC#NC#NC#NC
2.405399663,#NC#NC#NC#NC#NC#NC#NC#NC
2.505590175,#NC#NC#NC#NC#NC#NC#NC#NC
2.605779843,#NC#NC#NC#NC#NC#NC#NC#NC
2.705970446,#NC#NC#NC#NC#NC#NC#NC#NC
2.806173116,#NC#NC#NC#NC#NC#NC#NC#NC
2.906385034,#NC#NC#NC#NC#NC#NC#NC#NC
3.006594796,168384.0#NC#NC
3.106802092,#NC#NC#NC#NC#NC#NC#NC15680.0
3.207240804,#NC#NC#NC#NC#NC#NC#NC#NC
3.307494256,#NC#NC#NC#NC#NC#NC#NC#NC
3.407684616,#NC#NC#NC#NC#NC#NC#NC#NC
3.507873380,#NC#NC#NC#NC#NC#NC#NC#NC
3.608063224,#NC#NC#NC#NC#NC#NC#NC#NC
3.708261250,#NC#NC#NC#NC#NC#NC#NC#NC
3.808464774,#NC#NC#NC#NC#NC#NC#NC#NC
3.908656661,#NC#NC#NC#NC#NC#NC#NC#NC
4.008851690,#NC#NC#NC#NC#NC#NC#NC#NC
4.109030918,#NC#NC#NC#NC#NC#NC#NC#NC
4.209215262,#NC#NC#NC#NC#NC#NC#NC#NC
4.309396295,#NC#NC#NC#NC#NC#NC#NC#NC
4.409581579,#NC#NC#NC#NC#NC#NC#NC#NC
4.509766825,#NC#NC#NC#NC#NC#NC#NC#NC
4.609952796,#NC#NC#NC#NC#NC#NC#NC#NC
4.710145623,#NC#NC#NC#NC#NC#NC#NC#NC
4.810335609,#NC#NC#NC#NC#NC#NC#NC#NC
4.910527883,#NC#NC#NC#NC#NC#NC#NC#NC
