timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.305188511,0.140441894531
4.509628593,0.177978515625
6.614286532,0.132934570312
8.819152468,0.162048339844
10.923775113,0.3310546875
13.130210234,541.077514648
15.237721686,539.960571289
17.445400628,540.446044922
19.552526509,541.350952148
21.760288897,543.756103516
23.867901575,538.726196289
26.075830255,512.239318848
28.182827856,489.239624023
30.390820860,541.014221191
32.498501509,540.477111816
34.708224863,543.418579102
36.816540678,538.010681152
39.025741837,538.548095703
43.342310157,538.371459961
47.662595342,540.15625
49.871861378,540.929138184
51.980222845,541.791931152
54.188825539,536.028808594
56.296629048,538.477905273
58.504865657,539.004577637
60.613143392,522.418395996
62.822238337,543.047668457
64.930052299,539.493408203
67.138696234,539.084655762
69.247852165,495.520935059
71.455830957,495.924987793
73.563862188,508.994934082
75.772502014,542.628845215
77.880517316,542.457458496
80.088857597,540.181884766
82.197110270,538.350708008
84.405759588,542.38092041
86.516338028,540.922302246
88.724868934,538.06237793
90.832924940,542.790161133
93.041430211,540.059387207
95.149442618,543.939941406
97.358026309,536.439086914
99.466055372,541.294006348
101.674670149,539.147827148
103.882683053,0.0841674804688
105.991442362,0.0843505859375
108.200279511,0.157409667969
