copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt141.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000007 30000007102 365323028 29327664148 0 156146022 35113030 0 53810540 53810540 1921805 6887749120 218.955648
0 apt137.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000006 30000006442 355272057 29338339235 0 154376930 35356483 0 53912516 53912516 1925447 6900802048 219.370589
0 apt192.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000030 30000030069 375615254 29301622466 0 167116254 36070719 0 55147316 55147316 1969547 7058856448 224.395003
0 apt168.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000033 30000033034 364288820 29316195680 0 165846791 35694540 0 54815712 54815712 1957704 7016411136 223.045703
0 apt189.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000006 30000005737 377210531 29304647346 0 163524398 35802456 0 55111616 55111616 1968272 7054286848 224.249740
0 apt178.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000005 30000004915 365809916 29312712815 0 166462438 35919466 0 54915308 54915308 1961261 7029159424 223.450960
0 apt190.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000001 30000001232 367216596 29316625639 0 160596372 36171901 0 54810196 54810196 1957507 7015705088 223.023258
0 apt160.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000014 30000014125 344018306 29351784440 0 155225151 34696256 0 52723216 52723216 1882972 6748571648 214.531315
0 apt187.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000002 30000001902 367536350 29324973550 0 155480242 35489216 0 53997440 53997440 1928480 6911672320 219.716146
0 apt154.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000105 30000104681 357794402 29333938261 0 156079173 35453967 0 54351276 54351276 1941117 6956963328 221.155908
0 apt172.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000007 30000007149 374662921 29305488362 0 165511213 36013803 0 54763296 54763296 1955832 7009701888 222.832422
0 apt185.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000059 30000059054 365139957 29326040863 0 155876741 35627265 0 54032048 54032048 1929716 6916102144 219.856966
0 apt159.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000015 30000014545 344361329 29352258185 0 153428131 34920583 0 52781456 52781456 1885052 6756026368 214.768294
0 apt181.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000001 30000001204 358976483 29331416120 0 155294092 35938749 0 54823244 54823244 1957973 7017375232 223.076351
0 apt164.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000083 30000083414 269929730 29464992430 0 120476314 31362917 0 55096888 55096888 1967746 7052401664 224.189811
1 apt159.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000001 30000000812 263993126 28222833240 1138711087 0 41667410 0 61274080 0 2188360 7843082240 249.324870
1 apt137.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000004 30000003722 266229932 28246301709 1130073994 0 42694263 0 62271944 0 2223998 7970808832 253.385189
1 apt189.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000024 30000024011 470632416 27969261069 1208614169 0 44251364 0 64396304 0 2299868 8242726912 262.029232
1 apt168.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000016 30000015793 455163610 28031789129 1166183944 0 43998281 0 64217748 0 2293491 8219871744 261.302686
1 apt160.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000005 30000005022 442862664 28164454483 1087107261 0 41349383 0 60483948 0 2160141 7741945344 246.109814
1 apt178.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000024 30000023836 285701101 28078480355 1261675955 0 44044462 0 64353408 0 2298336 8237236224 261.854688
1 apt192.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000023 30000023340 288303317 28182205018 1163074423 0 44638017 0 64556660 0 2305595 8263252480 262.681722
1 apt172.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000003 30000002792 495735242 27958944962 1197715020 0 42576626 0 64288140 0 2296005 8228881920 261.589111
1 apt181.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000021 30000020956 286136439 28208328457 1126245300 0 43490974 0 63767368 0 2277406 8162223104 259.470085
1 apt164.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000000 30000000098 349122259 28550445657 936355777 0 34345592 0 63900032 0 2282144 8179204096 260.009896
1 apt154.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000080 30000080431 450138832 28035011131 1184195277 0 40503185 0 62349252 0 2226759 7980704256 253.699756
1 apt141.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000021 30000021474 446753289 28076452275 1144700991 0 42014056 0 62100024 0 2217858 7948803072 252.685645
1 apt190.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000094 30000094097 304039031 28147833689 1160606572 0 43678546 0 65030644 0 2322523 8323922432 264.610368
1 apt187.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000022 30000022273 440578656 28098827042 1126727732 0 43257793 0 63303184 0 2260828 8102807552 257.581315
1 apt185.apt.emulab.net 28 128 0 0 30.000000 5.000000 30.000001 30000000736 286698510 28200025665 1127543270 0 43513330 0 63704032 0 2275144 8154116096 259.212370
