copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt159.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000019 30000019136 117390263 29784466861 0 46525804 11237384 0 11493576 11493576 638532 11769421824 374.139844
0 apt178.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000027 30000026566 112578265 29792644372 0 43504306 11264668 0 11473038 11473038 637391 11748390912 373.471289
0 apt154.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000008 30000007943 116138266 29786240664 0 45768134 11210485 0 11435706 11435706 635317 11710162944 372.256055
0 apt137.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000014 30000013848 118073982 29785639947 0 45021427 11264771 0 11452104 11452104 636228 11726954496 372.789844
0 apt185.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000019 30000019156 119260044 29782928897 0 46484661 11258048 0 11507796 11507796 639322 11783983104 374.602734
0 apt190.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000142 30000142180 121493383 29784092482 0 43156692 11261595 0 11499228 11499228 638846 11775209472 374.323828
0 apt181.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000061 30000061078 117897762 29783671970 0 45583971 11452817 0 11438622 11438622 635479 11713148928 372.350977
0 apt164.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000099 30000098748 83649322 29826343731 0 39918121 9589769 0 11514060 11514060 639670 11790397440 374.806641
0 apt160.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000087 30000086814 118567035 29784443988 0 45505729 11171001 0 11494890 11494890 638605 11770767360 374.182617
0 apt189.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000109 30000108535 113288052 29789891943 0 44369306 11177588 0 11496438 11496438 638691 11772352512 374.233008
0 apt172.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000001 30000000897 121322439 29780911141 0 46284387 11181065 0 11497950 11497950 638775 11773900800 374.282227
0 apt141.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000077 30000077071 116650332 29786922482 0 45257645 11169838 0 11446848 11446848 635936 11721572352 372.618750
0 apt192.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000068 30000068311 117286615 29786861963 0 44157674 11253557 0 11493756 11493756 638542 11769606144 374.145703
0 apt187.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000104 30000104451 119764691 29783636600 0 45439343 11227921 0 11506032 11506032 639224 11782176768 374.545313
0 apt168.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000084 30000083671 112773268 29793051036 0 42997620 11183353 0 11471544 11471544 637308 11746861056 373.422656
1 apt154.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000009 30000008543 129569827 28636701558 1143810146 0 15941969 0 10692720 0 594040 10949345280 348.070312
1 apt181.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000019 30000018743 95158418 28601125190 1206229334 0 16322016 0 10699182 0 594399 10955962368 348.280664
1 apt159.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000076 30000076005 101190405 28641358037 1154302612 0 15561784 0 10738332 0 596574 10996051968 349.555078
1 apt187.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000001 30000001206 128232795 28632343391 1150591397 0 15560709 0 10745730 0 596985 11003627520 349.795898
1 apt172.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000054 30000053785 128393731 28579322120 1200994221 0 15973918 0 10738638 0 596591 10996365312 349.565039
1 apt141.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000001 30000000556 137543907 28588843758 1182678338 0 15975538 0 10700208 0 594456 10957012992 348.314062
1 apt137.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000116 30000115968 94384900 28613658204 1190390056 0 16455471 0 10705302 0 594739 10962229248 348.479883
1 apt189.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000098 30000097565 130559604 28623435212 1153285167 0 16414058 0 10736892 0 596494 10994577408 349.508203
1 apt190.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000099 30000098740 96175022 28650836107 1155010294 0 15852897 0 10741500 0 596750 10999296000 349.658203
1 apt192.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000097 30000096678 97611199 28651114188 1150147837 0 16443595 0 10736172 0 596454 10993840128 349.484766
1 apt164.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000079 30000079072 95321015 28893067771 961196824 0 13784228 0 10753920 0 597440 11012014080 350.062500
1 apt185.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000029 30000029422 97304208 28654755277 1147386366 0 15240287 0 10748142 0 597119 11006097408 349.874414
1 apt178.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000125 30000124811 99158727 28659195270 1141050803 0 16138676 0 10723104 0 595728 10980458496 349.059375
1 apt160.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000105 30000105068 131078090 28611293825 1168805630 0 15154295 0 10738656 0 596592 10996383744 349.565625
1 apt168.apt.emulab.net 18 1024 0 0 30.000000 5.000000 30.000033 30000033418 136246118 28598805143 1172122020 0 15986611 0 10720602 0 595589 10977896448 348.977930
