copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt192.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000002 30000002233 76437651 24210274505 5408447627 0 8731751 0 11085672 0 461903 11351728128 360.861719
1 apt154.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000010 30000009715 112973575 24056351657 5534677964 0 8993914 0 11086464 0 461936 11352539136 360.887500
1 apt185.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000090 30000089780 77864021 24176328424 5433331963 0 9016374 0 11088984 0 462041 11355119616 360.969531
1 apt172.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000112 30000111736 125218830 24183743002 5403711550 0 8917394 0 11081328 0 461722 11347279872 360.720312
1 apt159.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000094 30000093648 101422548 24178970871 5424189188 0 8944509 0 11084976 0 461874 11351015424 360.839063
1 apt141.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000148 30000148265 114856661 24207608928 5392463327 0 8838276 0 11078568 0 461607 11344453632 360.630469
1 apt160.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000002 30000002499 116655791 24161098519 5435464060 0 8738410 0 11087928 0 461997 11354038272 360.935156
1 apt164.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000073 30000072668 78776707 25843402689 3825366125 0 7891162 0 11099136 0 462464 11365515264 361.300000
1 apt168.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000163 30000162853 112258981 24170802690 5431770533 0 8709237 0 11022408 0 459267 11286945792 358.802344
1 apt187.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000006 30000006343 112976891 24144444835 5450984475 0 8935585 0 11088000 0 462000 11354112000 360.937500
1 apt189.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000037 30000037492 113999869 24195394292 5406660651 0 8699034 0 11082408 0 461767 11348385792 360.755469
1 apt137.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000134 30000134342 77452756 24232103385 5385693937 0 8806172 0 11084904 0 461871 11350941696 360.836719
1 apt190.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000059 30000059451 80955821 24206686502 5400397556 0 8928626 0 11089584 0 462066 11355734016 360.989062
1 apt178.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.000004 30000004197 77198572 24191151830 5427725153 0 8694828 0 11081184 0 461716 11347132416 360.715625
1 apt181.apt.emulab.net 24 1024 0 0 30.000000 5.000000 30.008682 30008681905 68753230 24998663814 4674933571 0 8121952 0 8863392 0 369308 9076113408 288.521875
