copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt187.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000003 60000002889 9012750968 46149254873 0 268867428 517735285 0 67476912 67476912 16869228 8637044736 137.282129
0 apt160.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000003 60000003341 8302550582 47426018806 0 241460869 478244428 0 60898356 60898356 15224589 7794989568 123.898022
0 apt178.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000004 60000004143 2895685306 51294262885 0 312076901 686325973 0 78544628 78544628 19636157 10053712384 159.799455
0 apt141.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000005 60000004559 9473888328 45508350175 0 281489772 629161873 0 70840460 70840460 17710115 9067578880 144.125285
0 apt189.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000005 60000005159 9690401384 45148127959 0 298107954 558128406 0 74181048 74181048 18545262 9495174144 150.921729
0 apt185.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000006 60000006002 2430595983 52510206419 0 271508348 506841050 0 69073576 69073576 17268394 8841417728 140.530550
0 apt181.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000006 60000005836 2791306852 51563741224 0 298906777 724830402 0 71497588 71497588 17874397 9151691264 145.462215
0 apt159.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000004 60000004262 2336948944 53120832305 0 245707618 448488334 0 62854076 62854076 15713519 8045321728 127.876945
0 apt172.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000005 60000004858 8998184041 46409302457 0 266036497 516061318 0 66768872 66768872 16692218 8546415616 135.841618
0 apt190.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000175 60000175450 2538029625 52536284593 0 266877979 511419833 0 67361852 67361852 16840463 8622317056 137.048039
0 apt154.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000177 60000176536 9190762337 46110969874 0 263237450 564802925 0 66476516 66476516 16619129 8508994048 135.246818
0 apt192.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000005 60000005269 2805629424 51654470571 0 299925302 588606542 0 75903628 75903628 18975907 9715664384 154.426326
0 apt164.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000176 60000175802 8025801353 47758783393 0 193947233 254582135 0 72074912 72074912 18018728 9225588736 146.636784
0 apt137.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000176 60000175665 2759865668 51727634453 0 288494625 677409809 0 73634024 73634024 18408506 9425155072 149.808805
0 apt168.apt.emulab.net 4 128 0 0 60.000000 5.000000 60.000004 60000004133 9920478952 44697171448 0 306881846 630163174 0 76389084 76389084 19097271 9777802752 155.413989
