copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt164.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000001 60000001016 428824147 53056552635 5833832471 0 41013812 0 19214624 0 2401828 19675774976 312.738021
1 apt154.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000021 60000020772 666565892 50447670378 8089288768 0 46109637 0 18959408 0 2369926 19414433792 308.584115
1 apt168.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000002 60000002095 648471300 50579402446 7987548130 0 45916009 0 18704872 0 2338109 19153788928 304.441276
1 apt190.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000027 60000027418 438585137 50771074665 7893338981 0 47602212 0 19008296 0 2376037 19464495104 309.379818
1 apt137.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000001 60000001465 426705274 50741780175 7935945652 0 45747921 0 18733504 0 2341688 19183108096 304.907292
1 apt159.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000039 60000038916 434277650 50750240077 7911945357 0 46216479 0 19002584 0 2375323 19458646016 309.286849
1 apt141.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000045 60000045489 651717174 50575295823 7996145062 0 45434042 0 18663880 0 2332985 19111813120 303.774089
1 apt178.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000003 60000002819 422115928 50749702952 7929312311 0 45975119 0 18765360 0 2345670 19215728640 305.425781
1 apt160.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000058 60000058293 647476327 50590477306 7986169528 0 45322902 0 18971104 0 2371388 19426410496 308.774479
1 apt172.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000061 60000060873 691876064 50547626955 7982669138 0 45248774 0 18991928 0 2373991 19447734272 309.113411
1 apt181.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000066 60000065656 473751337 50592547957 8056360514 0 45872332 0 16682024 0 2085253 17082392576 271.517318
1 apt192.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000093 60000093040 407759156 50780798471 7907628366 0 46094002 0 18841984 0 2355248 19294191616 306.672917
1 apt185.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000094 60000094184 397580225 50789073346 7908834197 0 45700475 0 19099200 0 2387400 19557580800 310.859375
1 apt189.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000104 60000103934 644166066 50583009213 7981767451 0 45703787 0 18816296 0 2352037 19267887104 306.254818
1 apt187.apt.emulab.net 8 1024 0 0 60.000000 5.000000 60.000094 60000093698 626469437 50566274055 8006658540 0 45438475 0 19069808 0 2383726 19527483392 310.380990
