timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000257770,947.98236084,949.553100586,5098.62597656
3.000406167,1.72705078125,1.64184570312,15.9060058594
4.000544110,1.48773193359,1.75030517578,15.3495483398
5.000699502,1.80224609375,1.90588378906,15.5249633789
6.000862852,1014.09552002,1015.37872314,1042.10174561
7.001000167,108.798339844,116.431884766,150.835510254
8.001139614,1.51995849609,1.51824951172,15.0411376953
9.001277415,1.67114257812,1.58233642578,15.7003173828
10.001436204,6.63055419922,6.79870605469,24.5921020508
11.001598783,548.895690918,556.129882812,629.588745117
12.001756954,2.19763183594,2.04315185547,17.39453125
13.001912871,1.40838623047,1.66473388672,15.4757080078
14.002078144,2.59564208984,2.79388427734,17.951965332
15.002925193,1214.72143555,1215.34637451,1241.53857422
16.003106744,447.78125,450.45715332,3078.0826416
17.003286606,462.207275391,465.719116211,3197.25115967
18.003460677,471.534362793,473.222473145,3230.12835693
19.003654133,464.230224609,465.279968262,3205.33294678
20.003832039,465.376098633,466.902160645,3202.74682617
21.004008451,469.509216309,470.358520508,3218.50817871
22.004188913,459.628723145,462.223144531,3190.74707031
23.004365979,464.851013184,467.960083008,3214.79064941
24.004545896,463.281616211,465.859436035,3214.81213379
25.004722345,467.76373291,469.680786133,3212.43841553
26.004900669,461.576965332,463.253479004,3193.15008545
27.005080593,463.038818359,463.782348633,3207.31854248
28.005260902,464.422363281,466.466918945,3188.31591797
29.005442415,462.454650879,464.671508789,3199.80523682
30.005625561,460.838439941,462.45489502,3198.45672607
31.005809793,464.72845459,466.140014648,3215.18493652
32.005988669,461.67364502,463.249572754,3194.14044189
33.006169785,467.835021973,469.09765625,3223.30944824
34.006353083,466.987487793,468.592407227,3214.52502441
35.006535845,460.698974609,462.716003418,3188.84265137
36.006719988,461.875244141,463.048522949,3183.60699463
37.006903607,462.498352051,464.81048584,3216.18920898
38.007092626,465.025878906,466.301086426,3205.26330566
39.007267686,459.057617188,460.436035156,3181.40240479
40.007447779,460.879150391,463.336608887,3173.74145508
41.007628198,466.400085449,468.486083984,3209.41143799
42.007810601,464.562927246,465.890686035,3217.03741455
43.007989809,465.766784668,468.114868164,3201.98669434
44.008168225,467.770690918,470.023376465,3222.06213379
45.008346889,461.477111816,462.765197754,3190.78271484
46.008527599,468.531005859,469.846923828,3202.90997314
47.008710865,467.358032227,470.445861816,3207.36578369
48.008896043,460.758544922,462.046020508,3200.1237793
49.009076115,463.412963867,465.043640137,3199.21179199
50.009258827,463.020874023,465.077026367,3213.61553955
51.009440192,463.326293945,465.328735352,3213.84667969
52.009622256,461.306152344,462.457092285,3192.86730957
53.009802327,466.309020996,468.919921875,3197.83978271
54.009980742,464.268371582,466.419494629,3226.28845215
55.010162564,468.031799316,469.41973877,3228.25915527
56.010346011,466.194458008,468.39453125,3203.75396729
57.010527975,477.559509277,480.569580078,3248.76654053
58.010709629,460.333312988,462.662841797,3198.23321533
59.010894559,465.364379883,466.410095215,3203.26574707
60.011070431,463.905639648,465.278381348,3204.35308838
61.011241078,468.523010254,470.59765625,3220.51690674
62.011428052,461.907165527,464.253173828,3201.831604
63.011608713,466.91973877,468.619140625,3219.5411377
64.011791135,468.5625,469.068237305,3211.84912109
65.011969638,463.140686035,464.104614258,3191.28955078
66.012150743,464.606994629,466.167785645,3206.21759033
67.012332637,465.616271973,466.752807617,3193.36602783
68.012525757,467.905029297,470.548278809,3232.56958008
69.012709729,463.173828125,465.558105469,3203.94866943
70.012889739,466.48059082,467.831115723,3224.5090332
71.013068056,462.877685547,465.240905762,3207.38775635
72.013243069,465.292663574,466.680541992,3209.06091309
73.013422627,464.115783691,465.428527832,3199.18225098
74.013966833,461.005249023,463.489746094,3166.38787842
75.014369618,2042.78851318,3120.40155029,5214.75585938
76.014647353,63.5093383789,81.5966186523,539.255126953
77.014956030,1.05676269531,1.03625488281,9.34771728516
77.014956030,3.81744384766,5.125,14.5147094727
