copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt137.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000002 60000001634 328086632 50446371978 8398735047 0 40399725 0 19680210 0 1968021 20152535040 320.315918
1 apt159.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000022 60000021655 346989045 50450309267 8389219183 0 39695034 0 19712800 0 1971280 20185907200 320.846354
1 apt164.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000034 60000033583 350536054 52884542292 6141164740 0 34291561 0 19965260 0 1996526 20444426240 324.955404
1 apt187.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000014 60000014407 496202026 50299057477 8483312947 0 39579524 0 19459760 0 1945976 19926794240 316.727865
1 apt172.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000026 60000025674 546687872 50261941714 8479066527 0 39397299 0 19861810 0 1986181 20338493440 323.271647
1 apt160.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000074 60000073946 528765560 50292066193 8468527949 0 40095371 0 19693800 0 1969380 20166451200 320.537109
1 apt192.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000041 60000040555 326486843 50440182236 8410952571 0 39418078 0 19754310 0 1975431 20228413440 321.521973
1 apt185.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000004 60000003775 311797981 50448678118 8426320891 0 39276220 0 19526560 0 1952656 19995197440 317.815104
1 apt190.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000069 60000068738 331430179 50427977043 8420742169 0 40237337 0 19872700 0 1987270 20349644800 323.448893
1 apt168.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000078 60000078461 521495674 50285593046 8467116230 0 39518398 0 19666680 0 1966668 20138680320 320.095703
1 apt189.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000089 60000088760 531801942 50275122310 8468113548 0 39443435 0 19741020 0 1974102 20214804480 321.305664
1 apt154.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000119 60000119290 520441115 50088187883 8653525160 0 40012853 0 19594850 0 1959485 20065126400 318.926595
1 apt181.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000045 60000045135 372419022 50056896514 8751092376 0 41070904 0 17365960 0 1736596 17782743040 282.649089
1 apt178.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000096 60000095944 319433249 50444734159 8412462853 0 39713532 0 19695530 0 1969553 20168222720 320.565267
1 apt141.apt.emulab.net 10 1024 0 0 60.000000 5.000000 60.000058 60000058467 532222767 50269451742 8472831458 0 39011135 0 19637680 0 1963768 20108984320 319.623698
