timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000414679,1064.02246094,1077.34014893,2933.79516602
3.000588938,37.5004882812,49.6385498047,3038.83105469
4.000747378,1.57556152344,13.7920532227,2.2529296875
5.000908043,1.58703613281,13.9609985352,2.42401123047
6.001071883,1.59448242188,13.9633789062,3.05596923828
7.001259084,3.04187011719,15.622253418,5.50921630859
8.001423830,3.00909423828,15.4351806641,4.26647949219
9.001584084,14.2483520508,26.7523803711,21.4697875977
10.001762820,1.47473144531,14.1009521484,2.87927246094
11.001930130,1.35638427734,14.0925292969,3.19317626953
12.002086077,1.31481933594,14.0525512695,3.42602539062
13.002241347,1.14471435547,13.982421875,2.22613525391
14.002403015,1.41156005859,14.0271606445,2.63757324219
15.002559119,4.19305419922,17.1252441406,6.9970703125
16.003175914,145.758666992,140.187561035,1333.59118652
17.003317487,410.569274902,423.801879883,5223.01464844
18.003455254,403.944091797,418.098449707,5225.05206299
19.003594151,408.617980957,422.079406738,5212.39642334
20.003734971,408.58770752,421.027587891,5216.7947998
21.003871542,410.254821777,423.834228516,5209.52435303
22.004009332,407.352111816,419.692871094,5217.2331543
23.004147726,408.428466797,421.032897949,5214.37786865
24.004286363,410.695983887,422.66015625,5212.59735107
25.004420718,408.613342285,421.788146973,5207.25683594
26.004558849,411.653686523,424.165344238,5207.60351562
27.004694094,410.072509766,421.625,5213.75561523
28.004831235,404.408630371,417.047363281,5222.33459473
29.004968561,409.046569824,421.603637695,5210.43725586
30.005108803,409.707336426,422.229553223,5211.10479736
31.005245776,408.629882812,420.816589355,5215.5802002
32.005381926,412.364501953,425.082519531,5206.81756592
33.005517540,405.841186523,418.852294922,5216.87744141
34.005660570,408.249633789,420.569152832,5214.40472412
35.005761750,404.838928223,417.823974609,5220.88146973
36.005905699,406.995422363,419.458862305,5216.33874512
37.006039248,412.082641602,424.57824707,5210.84649658
38.006171735,409.537963867,422.792297363,5210.57269287
39.006307955,409.154907227,421.667663574,5215.84649658
40.006443388,415.099060059,427.769348145,5217.57183838
41.006578852,410.589782715,422.728210449,5212.03137207
42.006714695,405.608337402,417.923706055,5220.35662842
43.006851066,404.500183105,417.233154297,5221.70623779
44.006984597,403.578735352,416.297119141,5228.10803223
45.007118472,410.36126709,423.90423584,5207.82958984
46.007254857,406.669616699,420.165710449,5215.88519287
47.007399821,406.985168457,420.277587891,5215.98571777
48.007533940,409.666748047,423.011108398,5209.54882812
49.007666177,408.594055176,420.453979492,5215.58636475
50.007806160,408.155273438,421.022094727,5213.1585083
51.007939631,405.079772949,417.52734375,5219.00109863
52.008080371,407.66973877,419.339477539,5216.12762451
53.008214366,410.532104492,422.896057129,5210.99554443
54.008350664,409.19543457,421.841491699,5210.7512207
55.008487475,405.94519043,417.970092773,5218.82824707
56.008623795,404.821838379,417.007202148,5222.5380249
57.008760328,410.745666504,422.92779541,5210.14526367
58.008895870,408.275085449,420.545166016,5214.14794922
59.009032637,406.862792969,418.793823242,5217.43664551
60.009169685,407.867431641,421.110351562,5215.33972168
61.009305612,406.295532227,418.927368164,5218.62103271
62.009443817,409.660461426,422.833129883,5214.53106689
63.009583035,407.110412598,419.819641113,5218.21905518
64.009733013,405.888427734,418.351196289,5218.82971191
65.009886266,406.020751953,418.281677246,5221.33996582
66.010021883,406.770996094,418.759094238,5219.32885742
67.010157560,411.70135498,424.324462891,5219.91326904
68.010290090,408.282470703,421.481567383,5212.24884033
69.010426479,409.772033691,422.692993164,5210.13824463
70.010562370,408.49206543,421.596618652,5220.16070557
71.010701360,413.198974609,426.672363281,5204.34466553
72.010836914,407.971374512,421.006958008,5218.48937988
73.010970726,407.162475586,421.187744141,5214.92340088
74.011101232,407.116882324,420.128112793,5218.55737305
75.011275287,409.21472168,421.445495605,5212.36138916
76.011473591,299.301574707,311.509033203,3727.92114258
77.011745294,5.654296875,14.5645751953,13.9396362305
77.011745294,0.976867675781,4.13842773438,1.91534423828
