copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt160.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000001 60000001078 1243566972 47865511191 7013946290 0 100474511 0 107774037 0 5132097 13795076736 219.266840
1 apt137.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000018 60000017599 804843009 48050211535 6909852985 0 98581679 0 107543961 0 5121141 13765627008 218.798749
1 apt172.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000002 60000001960 1401726645 47302009790 7278401279 0 104709264 0 112495992 0 5356952 14399486976 228.873682
1 apt185.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000000 60000000481 736081892 47750703893 7210294626 0 103964670 0 111747069 0 5321289 14303624832 227.349994
1 apt189.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000014 60000013574 1271725702 47434319887 7241733999 0 103147466 0 111841947 0 5325807 14315769216 227.543024
1 apt159.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000014 60000014223 792184065 48005745684 6980369977 0 100650549 0 107885148 0 5137388 13809298944 219.492896
1 apt141.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000020 60000020181 1295877210 47876499178 6922900396 0 102112324 0 107304666 0 5109746 13734997248 218.311902
1 apt178.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000023 60000023310 774141013 47715781479 7177893752 0 103530428 0 111845475 0 5325975 14316220800 227.550201
1 apt154.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000034 60000033770 1314589585 47671480510 7017774768 0 100820325 0 107357754 0 5112274 13741792512 218.419910
1 apt192.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000038 60000037651 780283475 47644837795 7228405541 0 102401719 0 112035756 0 5335036 14340576768 227.937329
1 apt187.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000043 60000043392 1187461738 47594541724 7231861151 0 102178272 0 111371568 0 5303408 14255560704 226.586035
1 apt190.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000013 60000012814 860243782 47490493261 7270069114 0 104844127 0 112919394 0 5377114 14453682432 229.735095
1 apt164.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000003 60000002508 811120498 51534047689 4573875205 0 85903810 0 103150950 0 4911950 13203321600 209.861145
1 apt181.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000003 60000002995 830701678 48448369268 6661508022 0 98925915 0 89835627 0 4277887 11498960256 182.771051
1 apt168.apt.emulab.net 21 128 0 0 60.000000 5.000000 60.000024 60000024130 1281488040 47484966239 7187832512 0 103160069 0 111628440 0 5315640 14288440320 227.108643
