timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
3.000753879,1.60858154297
5.001266672,1.69366455078
7.001772905,0.487915039062
9.002658698,0.732360839844
11.003144747,1.74761962891
13.003634221,1.96881103516
15.004128701,1.71899414062
17.004640799,6498.56335449
19.005094370,6502.10345459
21.005549338,6501.80151367
23.006012236,6501.24017334
25.006463524,6500.83654785
27.006914808,6501.83050537
29.007372259,6501.35638428
31.007819743,6500.03430176
33.008293543,6504.61871338
35.008772782,6502.75482178
36.009008497,6501.17797852
38.009461382,6505.11712646
40.009916559,6501.35852051
42.010372517,6500.74389648
44.010813125,6502.9263916
46.011260036,6501.44354248
48.011710960,6505.09313965
50.012159007,6502.80993652
52.012634975,6502.56768799
54.013078898,6501.50024414
56.013528267,6504.2444458
58.013979902,6499.05938721
60.014428071,6500.61938477
62.014879054,6500.68395996
64.015327516,6501.3861084
66.015772964,6502.66638184
68.016246056,6505.5847168
70.016657583,6503.18145752
71.016891675,6501.7677002
73.017344277,6501.09783936
75.017824483,6502.12524414
77.018516939,1.25646972656
