timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
4.001228328,1.50988769531
6.002092511,1.08203125
8.002627331,0.761535644531
10.003091133,1.8525390625
13.003851792,2.01342773438
15.004412267,390.476013184
17.004973172,403.76159668
19.005535902,389.103820801
22.006770751,384.912658691
24.007316159,393.799316406
26.007859476,394.647521973
28.008411585,395.944824219
30.008968373,405.865356445
33.009782951,393.181274414
35.010959294,404.130981445
37.011517417,397.825195312
39.012087019,401.906066895
42.012923209,394.877807617
44.013484460,390.382629395
46.014049163,390.56072998
48.015048420,404.04888916
50.015590910,362.216308594
53.016399808,389.271484375
55.016943786,396.183532715
57.017497259,380.205932617
59.018054605,394.302246094
62.019314574,393.528442383
64.019863386,397.275512695
66.020419432,399.059570312
68.020969633,398.646362305
70.021514070,400.825683594
73.022703953,395.961853027
74.023071909,1.65789794922
