copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt185.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000002 60000002277 718444728 55116336282 0 352822757 69979968 0 109680660 109680660 3656022 14039124480 223.145874
0 apt164.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000020 60000019639 499332895 56452692760 0 284169366 56040672 0 109626960 109626960 3654232 14032250880 223.036621
0 apt154.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000070 60000070034 729901753 55131590676 0 362434754 67686781 0 107509080 107509080 3583636 13761162240 218.727783
0 apt178.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000004 60000004466 713479406 55140835278 0 369270492 68848825 0 108857730 108857730 3628591 13933789440 221.471619
0 apt159.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000009 60000008997 718838520 55200980822 0 352748123 69176816 0 109837470 109837470 3661249 14059196160 223.464905
0 apt190.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000035 60000035022 734242211 55241530775 0 359709079 69409655 0 110371800 110371800 3679060 14127590400 224.552002
0 apt192.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000044 60000043541 712995281 55164824261 0 353207183 68780074 0 108984540 108984540 3632818 13950021120 221.729614
0 apt160.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000047 60000047464 720619316 55234224324 0 352383399 67681152 0 109822860 109822860 3660762 14057326080 223.435181
0 apt172.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000076 60000076416 740334695 55263507779 0 363638151 67844689 0 110324370 110324370 3677479 14121519360 224.455505
0 apt187.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000096 60000095968 722699219 55161132678 0 349021635 68327211 0 109581660 109581660 3652722 14026452480 222.944458
0 apt181.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000028 60000028200 763144984 54949073095 0 376725450 71663151 0 102451050 102451050 3415035 13113734400 208.437195
0 apt189.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000034 60000033665 714788072 55184290784 0 347135873 67124065 0 108859740 108859740 3628658 13934046720 221.475708
0 apt137.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000090 60000090066 704229567 55140846621 0 357056005 67984556 0 107291400 107291400 3576380 13733299200 218.284912
0 apt168.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000032 60000032199 728709760 55148312370 0 362809351 66956841 0 108860610 108860610 3628687 13934158080 221.477478
0 apt141.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000051 60000050528 716152969 55114681549 0 363049082 66392524 0 107120520 107120520 3570684 13711426560 217.937256
