timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.000397168,1.43103027344
3.000649246,1.54107666016
4.000908992,1.56396484375
5.001169960,2.96044921875
6.001433714,1.35803222656
7.001733211,1.43438720703
8.003198423,1.48022460938
9.003459271,1.33435058594
10.003705674,1.58276367188
11.003955431,1.28167724609
12.004201951,1.12145996094
13.004446321,2.62463378906
14.004704412,1.80029296875
15.005001635,1.38873291016
16.005246049,6528.32122803
17.005485110,6525.56646729
18.005731384,6526.03149414
19.005968001,6524.8616333
20.006200201,6526.3626709
21.006449267,6524.61645508
22.006686287,6523.70898438
23.006923568,6526.73071289
24.007162520,6527.05767822
25.007398681,6524.85089111
26.007634293,6525.31958008
27.007874184,6526.02410889
28.008118957,6525.23974609
29.008355451,6478.23547363
30.008594422,6526.77789307
31.008825791,6525.38214111
32.009057619,6527.64978027
33.009291945,6524.61468506
34.009527286,6526.2767334
35.009781792,6523.72027588
36.010028160,6526.80450439
37.010263217,6524.0335083
38.010499850,6527.46044922
39.010731557,6528.33459473
40.010969445,6525.29443359
41.011205145,6526.15924072
42.011438264,6527.7911377
43.011672158,6524.36309814
44.011908215,6525.0269165
45.012143882,6525.56402588
46.012382023,6525.02972412
47.012621034,6526.39129639
48.012856628,6525.77990723
49.013090737,6526.08831787
50.013328117,6526.03729248
51.013569760,6527.12738037
52.013819503,6526.40319824
53.014072303,6526.16265869
54.014312151,6525.60699463
55.014545530,6525.8793335
56.014780207,6525.86846924
57.015013364,6526.07513428
58.015254983,6525.31915283
59.015492194,6526.04901123
60.015728413,6527.20593262
61.015970833,6527.35174561
62.016202934,6525.74737549
63.016432903,6526.07598877
64.016668260,6526.78051758
65.016912110,6525.02166748
66.017152645,6525.83325195
67.017388840,6527.64764404
68.017627373,6526.44787598
69.017877928,6525.90527344
70.018123655,6525.48046875
71.018361997,6526.38848877
72.018596765,6526.98883057
73.018836023,6526.00030518
74.019087168,6525.5480957
75.019343863,6516.0480957
76.019738370,0.960327148438
76.019738370,1.64849853516
