copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt154.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000004 60000003622 718238974 50692769724 7751767745 0 52988513 0 18199538 0 2599934 18636326912 296.216439
1 apt137.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000022 60000022398 485625725 51002366924 7559900192 0 52853587 0 18185636 0 2597948 18622091264 295.990169
1 apt185.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000034 60000033833 439172660 51056444507 7567269707 0 53400115 0 18298980 0 2614140 18738155520 297.834961
1 apt178.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000044 60000043899 452753751 51060016278 7535093950 0 52712868 0 17983539 0 2569077 18415143936 292.700830
1 apt141.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000056 60000055929 748306512 50793634831 7635241494 0 52519650 0 18135166 0 2590738 18570409984 295.168717
1 apt159.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000011 60000011179 473809974 51039396146 7536726261 0 52657685 0 18155963 0 2593709 18591706112 295.507210
1 apt164.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000073 60000072713 457410850 53226511221 5614146076 0 45298032 0 18326945 0 2618135 18766791680 298.290120
1 apt160.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000040 60000040260 735090199 50817542517 7636531891 0 53416677 0 18107642 0 2586806 18542225408 294.720736
1 apt187.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000006 60000006325 658357105 50867118675 7647303311 0 52568929 0 18272800 0 2610400 18711347200 297.408854
1 apt190.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000059 60000058875 465991941 51037001259 7547204094 0 53085449 0 18145659 0 2592237 18581154816 295.339502
1 apt172.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000066 60000065995 740103065 50819739760 7632033471 0 52642129 0 18109455 0 2587065 18544081920 294.750244
1 apt168.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000003 60000003171 709082549 50877280544 7590812653 0 52086098 0 17919853 0 2559979 18349929472 291.664274
1 apt189.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000041 60000041373 708095973 50868454374 7600439631 0 52139631 0 17961069 0 2565867 18392134656 292.335107
1 apt181.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000012 60000011771 514896841 50865506989 7690808980 0 51688211 0 16316209 0 2330887 16707798016 265.563298
1 apt192.apt.emulab.net 7 1024 0 0 60.000000 5.000000 60.000079 60000078889 462995266 51056105041 7530343991 0 52648099 0 18012617 0 2573231 18444919808 293.174105
