copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt154.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000002 60000001515 1320364896 49467879634 5401875057 0 114934973 0 85125390 0 6080385 10896049920 173.188049
1 apt137.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000025 60000025324 764444997 50061553410 5139516207 0 112474412 0 83199620 0 5942830 10649551360 169.270060
1 apt164.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000001 60000001354 1000121966 52216732912 3326343204 0 93494604 0 88466182 0 6319013 11323671296 179.984908
1 apt192.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000001 60000000979 898166336 48427235265 6047770306 0 129609747 0 97021330 0 6930095 12418730240 197.390401
1 apt190.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000008 60000007548 1064687138 47485965686 6495379676 0 139206579 0 104311956 0 7450854 13351930368 212.223218
1 apt159.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000009 60000008937 886648766 49043296232 5678768038 0 123737878 0 91795578 0 6556827 11749833984 186.758582
1 apt181.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000011 60000011408 1017279466 48277160102 6115343802 0 135400370 0 83423564 0 5958826 10678216192 169.725675
1 apt168.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000013 60000012693 1487468110 48133005237 6092927898 0 129979062 0 96888400 0 6920600 12401715200 197.119954
1 apt172.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000016 60000015781 1853619885 46918022955 6684034977 0 141589839 0 106170470 0 7583605 13589820160 216.004374
1 apt141.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000019 60000018674 1322914444 49637111845 5247838229 0 113181873 0 84105756 0 6007554 10765536768 171.113599
1 apt189.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000019 60000019364 1559178637 47788616506 6251579712 0 131852070 0 99332226 0 7095159 12714524928 202.091931
1 apt160.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000004 60000004101 1468585826 48769717126 5766118600 0 123395047 0 92007230 0 6571945 11776925440 187.189189
1 apt185.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000014 60000014264 946886653 47746424369 6411369912 0 138091996 0 103168030 0 7369145 13205507840 209.895894
1 apt178.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000018 60000018128 910637200 48500111005 5979075013 0 128895637 0 96279036 0 6877074 12323716608 195.880200
1 apt187.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000032 60000031507 1605413184 47356908590 6529441263 0 139225220 0 103967626 0 7426259 13307856128 211.522677
