timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000335674,101.177978516,88.1596069336,6097.66027832
3.000526588,13.534362793,0.943542480469,2.34228515625
4.000739009,1472.62322998,1460.16821289,1469.9262085
5.000928236,14.4896850586,1.90747070312,3.80480957031
6.001132345,15.0489501953,2.39581298828,3.47918701172
7.001316118,16.2781982422,3.46099853516,6.35498046875
8.001551096,14.5184936523,1.87115478516,2.91259765625
9.001769219,14.8131103516,2.34246826172,3.70086669922
10.001946529,14.3589477539,1.63262939453,3.27667236328
11.002136627,14.0920410156,1.29943847656,2.45135498047
12.002325732,14.404296875,1.89971923828,3.29010009766
13.002512913,14.3716430664,1.60211181641,3.58569335938
14.002699991,16.2971191406,3.60101318359,6.23870849609
15.003414542,13.9146118164,1.41650390625,2.20233154297
16.003586745,757.225830078,746.348388672,827.590332031
17.003769985,533.892822266,519.641723633,3933.58062744
18.003963771,554.932617188,541.83996582,4099.24450684
19.004390178,546.511535645,531.733764648,4050.90356445
20.004575568,560.288513184,547.20526123,4121.56750488
21.004751582,554.557800293,539.598205566,4105.19525146
22.004929013,556.389160156,543.620178223,4101.4105835
23.005108308,546.753234863,532.430541992,4030.16882324
24.005287037,551.438842773,538.454589844,4080.34106445
25.005470446,556.539611816,542.039367676,4119.125
26.005647952,558.573181152,544.008056641,4108.1418457
27.005846001,553.200195312,540.303039551,4093.99304199
28.006023258,549.812683105,536.850097656,4074.91369629
29.006196353,554.251281738,539.713684082,4085.04577637
30.006376725,550.071594238,536.561645508,4064.62164307
31.006555474,552.367797852,539.644958496,4093.39807129
32.006736922,575.197692871,569.612915039,4171.59289551
33.006916650,538.096801758,548.544006348,4073.55969238
34.007094950,535.193664551,545.247802734,4057.66162109
35.007272986,544.585327148,556.148742676,4075.2522583
36.007457934,532.201843262,543.461425781,4047.14489746
37.007636976,543.34954834,554.002258301,4112.29736328
38.007941035,541.955810547,552.651062012,4072.22790527
39.008129704,538.351928711,549.675170898,4089.98535156
40.008308759,548.988464355,559.541381836,4093.36749268
41.008487934,539.635498047,551.661193848,4090.93206787
42.008662433,541.378051758,552.778137207,4099.47772217
43.008845668,540.724609375,552.776367188,4117.02624512
44.009022418,540.03338623,550.102722168,4084.41687012
45.009198432,542.512695312,552.777099609,4118.52661133
46.009381001,550.059875488,560.97833252,4105.74572754
47.009560398,542.830383301,554.431335449,4094.33227539
48.009752746,541.318847656,551.528442383,4116.12670898
49.009937762,536.290466309,547.278381348,4064.44232178
50.010115812,542.924438477,554.270568848,4096.38342285
51.010287637,536.885742188,550.106262207,4076.29486084
52.010466676,533.509887695,543.887878418,4044.35552979
53.010647345,526.95489502,537.737243652,4005.98327637
54.010824233,534.0703125,544.809997559,4049.3661499
55.011008942,541.827758789,552.707580566,4109.5993042
56.011188878,537.738525391,547.606323242,4058.59753418
57.011369424,550.323242188,561.878356934,4125.56658936
58.011553489,540.667663574,550.4296875,4076.20983887
59.011738940,547.459777832,557.966674805,4116.63702393
60.011917290,534.346862793,544.621032715,4051.54223633
61.012108255,534.497314453,546.967773438,4041.6038208
62.012285388,543.363342285,554.277832031,4102.74993896
63.012461537,542.64239502,554.199890137,4095.43145752
64.012640692,537.403869629,550.242553711,4091.60565186
65.012823733,541.611694336,552.654296875,4101.34375
66.013003047,540.660583496,552.537109375,4095.92523193
67.013182092,538.91027832,549.55267334,4075.31451416
68.013366565,541.122619629,552.942871094,4123.23815918
69.013544260,547.614074707,559.288635254,4127.10858154
70.013752802,545.657775879,556.750793457,4115.10333252
71.013938227,543.802246094,554.684631348,4103.1652832
72.014120216,534.505371094,545.167358398,4039.90515137
73.014299688,536.207763672,548.737854004,4046.52984619
74.014475802,543.555480957,555.061584473,4110.25939941
75.014651403,543.698425293,555.147705078,4112.30126953
76.014862407,544.313659668,555.060852051,4112.22692871
77.015112585,1540.00720215,1539.88928223,2068.88171387
78.015358937,0.697265625,3.94024658203,2.17736816406
78.015358937,0.774353027344,6.79357910156,3.06188964844
