copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt164.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000003 60000003352 187098316 52276575713 7019991995 0 19613707 0 21840443 0 1149497 22364613632 355.475960
1 apt190.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000021 60000020979 176975336 49389943028 9779894694 0 22483680 0 21798814 0 1147306 22321985536 354.798405
1 apt154.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000012 60000011565 270234590 48973550383 10139642207 0 22992987 0 21748920 0 1144680 22270894080 353.986328
1 apt168.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000045 60000044753 275971010 49287132235 9846474577 0 22588722 0 21771492 0 1145868 22294007808 354.353711
1 apt189.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000054 60000053563 281930116 49331811126 9795663798 0 22502490 0 21788345 0 1146755 22311265280 354.628011
1 apt192.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000140 60000139674 179764697 49394708321 9782642893 0 23350995 0 21784716 0 1146564 22307549184 354.568945
1 apt181.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000160 60000160168 238674766 47739554129 11351945341 0 23125798 0 17574012 0 924948 17995788288 286.035352
1 apt187.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000031 60000031372 269870007 49310090547 9810454449 0 22807449 0 21773544 0 1145976 22296109056 354.387109
1 apt159.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000080 60000079906 178319033 49409791945 9756027292 0 22936509 0 21792715 0 1146985 22315740160 354.699137
1 apt137.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000099 60000098824 178634297 49298891175 9875301132 0 22450344 0 21759332 0 1145228 22281555968 354.155794
1 apt178.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000106 60000106308 180485915 49323952511 9852203125 0 22722625 0 21775938 0 1146102 22298560512 354.426074
1 apt141.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000129 60000128608 279214362 49252711924 9873234103 0 22503998 0 21754069 0 1144951 22276166656 354.070133
1 apt172.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000022 60000021846 289068146 49313498883 9796433731 0 22372679 0 21792012 0 1146948 22315020288 354.687695
1 apt160.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000100 60000100491 272460021 49353024479 9775435496 0 22359518 0 21786711 0 1146669 22309592064 354.601416
1 apt185.apt.emulab.net 19 1024 0 0 60.000000 5.000000 60.000118 60000118293 174923457 49386487351 9783873756 0 22527291 0 21809682 0 1147878 22333114368 354.975293
