timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
2.000529911,#NC#NC#NC#NC#NC#NC#NC#NC
3.000757601,1.47955322266
4.000986433,#NC#NC#NC#NC#NC#NC#NC#NC
5.001225544,1.40325927734
6.001450480,1.49499511719
7.001697315,#NC#NC#NC#NC#NC#NC#NC#NC
8.002305989,2.04473876953
9.002535806,#NC#NC#NC#NC#NC#NC#NC#NC
10.002799081,1.73791503906
11.003054754,3.19793701172
12.003289445,#NC#NC#NC#NC#NC#NC#NC#NC
13.003533421,2.57708740234
14.003767416,#NC#NC#NC#NC#NC#NC#NC#NC
15.004015098,1.36511230469
16.004248098,4555.39093018
17.004452193,#NC#NC#NC#NC#NC#NC#NC#NC
18.004680513,4522.79968262
19.004896594,#NC#NC#NC#NC#NC#NC#NC#NC
20.005130536,4559.53826904
21.005358746,4546.3850708
22.005565899,#NC#NC#NC#NC#NC#NC#NC#NC
23.005792202,4557.61743164
24.006021695,4551.18438721
25.006235312,#NC#NC#NC#NC#NC#NC#NC#NC
26.006460621,4556.66027832
27.006671848,#NC#NC#NC#NC#NC#NC#NC#NC
28.006905006,4562.25231934
29.007140456,4553.57366943
30.007321886,#NC#NC#NC#NC#NC#NC#NC#NC
31.007548806,4515.04931641
32.007760573,#NC#NC#NC#NC#NC#NC#NC#NC
33.007991481,4539.83514404
34.008219444,4563.94567871
35.008427679,#NC#NC#NC#NC#NC#NC#NC#NC
36.008655666,4565.07794189
37.008863635,#NC#NC#NC#NC#NC#NC#NC#NC
38.009098847,4533.0612793
39.009324598,4522.39239502
40.009534652,#NC#NC#NC#NC#NC#NC#NC#NC
41.009765484,4561.21716309
42.009990537,4555.64434814
43.010204311,#NC#NC#NC#NC#NC#NC#NC#NC
44.010432018,4551.09008789
45.010643705,#NC#NC#NC#NC#NC#NC#NC#NC
46.010880191,4558.51000977
47.011108135,4561.60498047
48.011325737,#NC#NC#NC#NC#NC#NC#NC#NC
49.011556370,4571.75091553
50.011763526,#NC#NC#NC#NC#NC#NC#NC#NC
51.011992989,4547.99377441
52.012214422,4537.37976074
53.012421012,#NC#NC#NC#NC#NC#NC#NC#NC
54.012647642,4544.78948975
55.012854487,#NC#NC#NC#NC#NC#NC#NC#NC
56.013078049,4543.1817627
57.013301024,4514.45898438
58.013511599,#NC#NC#NC#NC#NC#NC#NC#NC
59.013739756,4559.13916016
60.013953031,#NC#NC#NC#NC#NC#NC#NC#NC
61.014183036,4558.07012939
62.014418118,4553.19110107
63.014631079,#NC#NC#NC#NC#NC#NC#NC#NC
64.014859338,4546.9631958
65.015085185,4543.1572876
66.015328784,#NC#NC#NC#NC#NC#NC#NC#NC
67.015558499,4553.36779785
68.015771364,#NC#NC#NC#NC#NC#NC#NC#NC
69.015997829,4551.00585938
70.016224241,4560.5458374
71.016435376,#NC#NC#NC#NC#NC#NC#NC#NC
72.016664930,4551.02703857
73.016869038,#NC#NC#NC#NC#NC#NC#NC#NC
74.017413869,4565.4331665
75.018651348,4540.01123047
76.019028912,#NC#NC#NC#NC#NC#NC#NC#NC
77.019434626,0.973449707031
77.019434626,#NC#NC#NC#NC#NC#NC#NC#NC
