timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000417392,758.381591797,735.66394043,3457.87774658
3.000557536,771.895202637,756.963378906,2568.22808838
4.000697742,17.6629638672,4.93218994141,7.72052001953
5.000856657,806.481628418,814.672058105,925.683959961
6.000990715,14.2163085938,1.28918457031,2.97882080078
7.001130646,14.309753418,1.52319335938,2.81488037109
8.001264399,16.025390625,3.46350097656,5.82104492188
9.001407694,16.2741699219,3.85241699219,7.384765625
10.001541469,3080.42797852,3071.73217773,3094.00500488
11.001700800,14.647644043,1.74224853516,3.14898681641
12.001863009,15.4849243164,3.04724121094,5.83917236328
13.002019535,14.4078369141,1.79010009766,2.46380615234
14.002185359,17.7367553711,5.09747314453,9.87475585938
15.002342405,16.2110595703,3.45153808594,5.47320556641
16.003054416,1547.11590576,1535.98352051,1692.16870117
17.003187678,339.590515137,326.960876465,4102.51226807
18.003326285,341.314758301,329.031982422,4149.12982178
19.003470125,340.438293457,327.680358887,4119.09356689
20.003607517,341.672729492,328.607971191,4153.47351074
21.003743274,340.825500488,327.984863281,4149.7387085
22.003878570,337.308532715,323.813781738,4103.88781738
23.004016301,343.834411621,330.581970215,4147.33734131
24.004156040,342.311645508,329.290222168,4152.7401123
25.004294129,343.323364258,330.006164551,4147.26739502
26.004427972,338.86907959,325.730224609,4125.49932861
27.004560112,343.807800293,330.838500977,4133.46673584
28.004695294,340.902954102,327.747802734,4155.12017822
29.004829970,341.8828125,328.575622559,4148.20391846
30.004967868,340.89642334,327.547363281,4134.13214111
31.005121511,339.02935791,325.527160645,4132.04321289
32.005255860,338.624694824,326.102844238,4092.17211914
33.005388643,340.234619141,327.524597168,4155.4185791
34.005523284,339.817443848,326.70880127,4128.00372314
35.005658288,340.046203613,327.294189453,4125.91540527
36.005794029,340.296936035,326.976196289,4132.04852295
37.005930719,338.453369141,325.206359863,4127.88269043
38.006068355,339.199584961,326.02154541,4118.4979248
39.006206293,343.893066406,330.545837402,4152.48480225
40.006344453,339.398498535,326.579528809,4122.11743164
41.006479257,341.740905762,328.299438477,4150.47827148
42.006615368,339.621765137,326.764831543,4122.00817871
43.006749810,340.583618164,327.634216309,4152.3536377
44.006882685,337.405090332,324.473571777,4093.69512939
45.007014422,341.290405273,328.34967041,4129.60681152
46.007148659,338.062561035,324.647399902,4102.17492676
47.007283679,341.718688965,329.14831543,4148.99688721
48.007422996,339.235351562,326.349609375,4158.05981445
49.007554596,340.596679688,327.426208496,4142.23449707
50.007688101,337.712158203,324.71496582,4124.23425293
51.007819586,339.005310059,326.088623047,4122.53686523
52.007949801,341.875915527,329.23260498,4147.57757568
53.008083320,338.129821777,325.256958008,4112.78839111
54.008218090,339.770568848,326.611572266,4153.06231689
55.008352517,340.765136719,328.003295898,4118.0368042
56.008487486,343.335327148,330.625427246,4147.81671143
57.008622792,339.92565918,326.256347656,4113.44677734
58.008757562,341.5234375,328.850036621,4149.9609375
59.008893931,339.125183105,326.249389648,4125.94073486
60.009029272,342.683837891,329.376464844,4142.79528809
61.009161878,339.925476074,326.606079102,4130.92987061
62.009312996,339.68560791,326.246337891,4130.70306396
63.009460686,342.76385498,329.177490234,4138.61901855
64.009595959,340.399780273,327.712524414,4120.35760498
65.009731050,337.47253418,324.286254883,4080.96618652
66.009866418,342.954772949,329.684020996,4143.75219727
67.010001297,342.163024902,328.970275879,4145.49749756
68.010138207,340.07220459,327.278259277,4154.46032715
69.010271908,339.64453125,326.621520996,4125.24298096
70.010407351,341.192993164,327.658508301,4151.10748291
71.010542831,341.123657227,327.86730957,4129.4208374
72.010684362,342.753479004,329.983154297,4143.1026001
73.010818136,343.064697266,330.035827637,4156.61810303
74.010956335,336.56829834,323.145019531,4101.52325439
75.011245577,345.020080566,332.268615723,4142.9463501
76.011547860,338.884155273,325.762817383,4107.62811279
77.011809810,117.502746582,109.116577148,1132.88092041
78.012044000,12.6466674805,6.8662109375,12.985168457
78.012044000,4.85406494141,1.07580566406,2.50262451172
