timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.000387616,8.53570556641
3.000627175,1.56799316406
4.000866124,1.77087402344
5.001096821,1.66784667969
6.001356653,1.76580810547
7.001626688,1.56799316406
8.001920623,1.56909179688
9.003304357,1.57397460938
10.003580557,1.720703125
11.003848805,1.70776367188
12.004105295,1.47991943359
13.004358105,1.53186035156
14.004629161,1.64910888672
15.004884396,1.8623046875
16.005144012,835.434448242
17.005381084,5332.91815186
18.005629467,5325.86395264
19.005865411,5325.69604492
20.006102728,5332.87408447
21.006353456,5327.42901611
22.006602636,5331.74298096
23.006837381,5323.21386719
24.007072398,5328.97570801
25.007303913,5322.66876221
26.007553374,5331.12805176
27.007795573,5324.4520874
28.008032775,5320.43804932
29.008285954,5328.51153564
30.008539544,5334.61450195
31.008776709,5325.25238037
32.009016032,5325.77508545
33.009269325,5332.4708252
34.009520450,5329.53924561
35.009752322,5332.96765137
36.009991127,5327.24926758
37.010239957,5322.07611084
38.010494117,5329.39776611
39.010729890,5327.51489258
40.010969546,5332.34613037
41.011220175,5320.4486084
42.011472412,5323.92248535
43.011710317,5319.02416992
44.011942262,5329.80804443
45.012190033,5326.47052002
46.012426709,5330.59552002
47.012662587,5325.64172363
48.012898301,5330.88195801
49.013152154,5312.6260376
50.013387263,5331.94543457
51.013624718,5332.11444092
52.013859885,5327.74066162
53.014104730,5320.46807861
54.014343754,5329.30010986
55.014580433,5323.78723145
56.014813845,5328.64776611
57.015063219,5322.92889404
58.015297329,5326.55651855
59.015534534,5329.95159912
60.015768832,5325.77001953
61.016019222,5326.19464111
62.016254302,5325.41113281
63.016492024,5330.3949585
64.016740518,5326.81103516
65.016999951,5327.17242432
66.017246829,5323.24627686
67.017482472,5330.99804688
68.017733332,5328.66149902
69.017979018,5328.39263916
70.018220614,5331.5614624
71.018465411,5328.13232422
72.018718714,5328.56060791
73.018971331,5323.54821777
74.019209309,5333.02178955
75.019794104,5323.30651855
76.021230967,4475.09350586
77.021461410,1.72705078125
78.021860546,1.42572021484
79.022270428,1.51092529297
79.022270428,1.2939453125
