timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000274721,1008.59490967,1009.1416626,4767.26538086
3.000414839,267.19140625,267.17199707,292.431640625
4.000564182,271.372192383,271.317382812,295.758605957
5.000710475,261.106262207,261.138977051,291.373840332
6.000848446,289.950683594,289.92779541,319.95916748
7.000996981,277.120056152,276.95324707,307.936889648
8.001146765,265.490783691,265.765625,291.067810059
9.001304977,257.371337891,257.400085449,281.994384766
10.001461559,289.236206055,290.273376465,321.214233398
11.001623710,251.710754395,252.210998535,277.199462891
12.001790851,252.374816895,252.5,277.498596191
13.001950827,255.545532227,255.684570312,280.512268066
14.002113964,273.002441406,273.419128418,301.989624023
15.002795938,501.66229248,501.908752441,537.982299805
16.002951428,342.728820801,342.571960449,1118.44909668
17.003085179,358.011657715,357.831848145,4446.62719727
18.003219090,348.905700684,348.911254883,4427.70965576
19.003365185,347.307434082,347.069946289,4425.23138428
20.003501229,347.18560791,347.151000977,4429.58074951
21.003635249,348.03137207,348.13885498,4433.09039307
22.003777361,345.811584473,345.818054199,4424.85693359
23.003910164,346.437744141,346.647949219,4430.66278076
24.004043237,345.979553223,346.009033203,4433.31732178
25.004175957,350.444335938,350.55078125,4438.07275391
26.004332646,346.379150391,346.406005859,4426.36187744
27.004468298,346.62878418,346.746582031,4432.77532959
28.004602150,345.752502441,345.816162109,4429.23052979
29.004749626,345.430297852,345.519592285,4427.22045898
30.004881980,345.663146973,345.776611328,4424.90148926
31.005017057,346.153991699,346.191833496,4430.94592285
32.005150248,346.297851562,346.390319824,4433.31756592
33.005296454,346.454956055,346.442687988,4430.37841797
34.005427896,345.677612305,345.679931641,4430.39916992
35.005562971,345.751525879,345.769714355,4426.38635254
36.005696285,345.261413574,345.294494629,4428.82067871
37.005841281,345.934265137,345.920837402,4428.57592773
38.005973819,345.937866211,345.971679688,4432.30438232
39.006106783,345.875610352,345.864562988,4425.38342285
40.006250909,345.947265625,345.902893066,4430.48162842
41.006385363,345.212280273,345.271179199,4429.07733154
42.006502664,345.993103027,346.014648438,4431.2479248
43.006637582,345.431213379,345.393310547,4424.97003174
44.006782203,345.128295898,345.12689209,4429.76580811
45.006915465,346.231384277,346.154052734,4432.00543213
46.007049677,346.120056152,346.161682129,4428.36712646
47.007196097,346.206665039,346.173339844,4425.94439697
48.007330165,345.684509277,345.67175293,4435.21038818
49.007464581,345.962524414,345.983947754,4425.24420166
50.007601313,346.144836426,346.15032959,4429.34057617
51.007746408,346.138671875,346.192871094,4427.62451172
52.007882976,345.794189453,345.716003418,4432.04638672
53.008015562,345.468811035,345.472900391,4426.10778809
54.008159640,346.288574219,346.347290039,4428.21856689
55.008292291,346.417663574,346.407714844,4432.25640869
56.008428338,346.183166504,346.263427734,4431.5447998
57.008561417,346.253051758,346.321044922,4429.59020996
58.008706909,346.002624512,346.130065918,4426.12567139
59.008840331,345.845703125,345.917785645,4429.86199951
60.008971006,345.980224609,345.997070312,4428.75897217
61.009116263,345.644775391,345.645629883,4422.77880859
62.009251593,345.121887207,345.118225098,4430.66070557
63.009384057,346.336181641,346.307434082,4426.73321533
64.009517852,347.364379883,347.353149414,4434.10864258
65.009664983,345.943725586,346.028198242,4431.27197266
66.009798932,345.205444336,345.343139648,4431.09649658
67.009933459,346.30255127,346.32623291,4426.29760742
68.010065284,346.216552734,346.240905762,4430.62506104
69.010212038,345.953735352,345.950256348,4427.96759033
70.010346259,345.525817871,345.507141113,4427.44812012
71.010480010,345.561828613,345.581115723,4426.21160889
72.010629482,346.171325684,346.155273438,4426.019104
73.010766694,346.196533203,346.255004883,4433.42126465
74.010900931,345.820068359,345.807128906,4426.2800293
75.011177276,345.522155762,345.571105957,4429.44403076
76.011659496,2134.41241455,2138.50134277,5468.18908691
77.011956832,857.589599609,858.552368164,1177.93847656
78.012247204,2.32232666016,2.31158447266,13.5294799805
79.012538907,1.89788818359,1.87408447266,9.50921630859
79.012538907,0.148010253906,0.156799316406,2.80377197266
