copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt172.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000002 60000001524 1793629589 48148272702 6091067297 0 148539155 0 95133144 0 7927762 12177042432 193.548877
1 apt154.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000020 60000019662 1418027535 50115354448 5051485198 0 122275135 0 78322632 0 6526886 10025296896 159.347803
1 apt168.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000002 60000001564 1570789318 48891294372 5634417210 0 137351360 0 88580472 0 7381706 11338300416 180.217432
1 apt185.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000014 60000013799 988647130 48158801196 6165794475 0 154338753 0 99005076 0 8250423 12672649728 201.426343
1 apt137.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000017 60000016595 816871946 50504984535 4863043648 0 121423049 0 77857284 0 6488107 9965732352 158.401050
1 apt159.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000017 60000017226 869297051 49981289872 5208509405 0 132712163 0 84297324 0 7024777 10790057472 171.503345
1 apt181.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000020 60000020442 972184459 49050061675 5691236419 0 139894133 0 85500072 0 7125006 10944009216 173.950342
1 apt160.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000022 60000022184 1473692074 49712788358 5292733939 0 131112594 0 83848236 0 6987353 10732574208 170.589673
1 apt189.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000025 60000024617 1582470844 48913870390 5595712009 0 138128496 0 88019868 0 7334989 11266543104 179.076880
1 apt141.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000005 60000004623 1423300948 50221360791 4942965448 0 121540129 0 77717868 0 6476489 9947887104 158.117407
1 apt164.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000016 60000016116 1164299709 52107959231 3303050615 0 108770562 0 88857336 0 7404778 11373739008 180.780713
1 apt192.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000024 60000024044 870879137 49472627624 5429993641 0 134837499 0 86604204 0 7217017 11085338112 176.196704
1 apt190.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000026 60000025903 1045273986 48548766019 5967414567 0 147939285 0 94587792 0 7882316 12107237376 192.439355
1 apt178.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000024 60000023801 892713799 49341924491 5489290374 0 135858852 0 87749556 0 7312463 11231943168 178.526929
1 apt187.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000007 60000006687 1707306350 47818776136 6251412210 0 154661609 0 98678628 0 8223219 12630864384 200.762183
