copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt187.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000001 60000000745 1688696099 47748288962 6224679768 0 152672674 0 97731312 0 8144276 12509607936 198.834863
1 apt181.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000020 60000019546 991071902 49048128299 5583789695 0 140188451 0 84844356 0 7070363 10860077568 172.616284
1 apt154.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000001 60000001015 1404106602 50169394778 4950811137 0 121547724 0 77585796 0 6465483 9930981888 157.848706
1 apt164.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000005 60000004941 1094441122 52332250891 3120628834 0 103462272 0 84370572 0 7030881 10799433216 171.652368
1 apt189.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000009 60000009270 1630388830 48561442921 5715132652 0 140267123 0 89866728 0 7488894 11502941184 182.834326
1 apt168.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000013 60000013467 1559945682 48936537656 5552505870 0 136225948 0 87415644 0 7284637 11189202432 177.847583
1 apt190.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000017 60000016746 1084033463 48029466494 6127139642 0 151840655 0 97532808 0 8127734 12484199424 198.431006
1 apt159.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000021 60000020838 900893455 49457918875 5403810104 0 135226014 0 86722992 0 7226916 11100542976 176.438379
1 apt137.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000021 60000021493 787729051 50780413740 4684481645 0 117249027 0 75344052 0 6278671 9644038656 153.287866
1 apt185.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000025 60000024812 1008781638 47986408565 6175572912 0 153541931 0 98431428 0 8202619 12599222784 200.259253
1 apt172.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000028 60000028218 1894584633 47523254521 6281866673 0 153567296 0 98331324 0 8194277 12586409472 200.055591
1 apt160.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000004 60000004294 1529696885 49213333724 5452319716 0 134159102 0 86079348 0 7173279 11018156544 175.128882
1 apt178.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000013 60000013497 883778770 49427636044 5406715127 0 134557478 0 86427480 0 7202290 11062717440 175.837158
1 apt192.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000009 60000008617 904747178 49141060754 5553761162 0 138492241 0 88423404 0 7368617 11318195712 179.897876
1 apt141.apt.emulab.net 12 128 0 0 60.000000 5.000000 60.000022 60000022188 1381547438 50477386055 4756976271 0 117322370 0 75206328 0 6267194 9626409984 153.007666
