copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt185.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000001 60000001263 1706217365 52005104391 0 581576157 176266148 0 127098622 127098622 9078473 16268623616 258.582808
0 apt172.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000013 60000012862 2440744616 51595998336 0 577867327 173090969 0 126414778 126414778 9029627 16181091584 257.191524
0 apt159.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000002 60000001995 1579354989 52659199864 0 525131769 161149900 0 117405778 117405778 8386127 15027939584 238.862667
0 apt190.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000002 60000002107 1736778180 52015889809 0 561386842 173254218 0 125663594 125663594 8975971 16084940032 255.663236
0 apt178.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000003 60000003067 1504049958 52870846067 0 498251862 151962602 0 110255768 110255768 7875412 14112738304 224.315934
0 apt187.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000005 60000004760 2344295415 51660740329 0 588808110 174569076 0 127415162 127415162 9101083 16309140736 259.226811
0 apt189.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000005 60000005279 2139522448 52396842544 0 497113321 152818291 0 112344946 112344946 8024639 14380153088 228.566378
0 apt141.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000006 60000005809 1942399588 53096898352 0 486993646 138176078 0 101560158 101560158 7254297 12999700224 206.624670
0 apt154.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000009 60000009489 1961299450 53005086874 0 486657419 142239758 0 103842564 103842564 7417326 13291848192 211.268237
0 apt168.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000010 60000010050 2107994186 52466558145 0 502256126 151373029 0 111250762 111250762 7946483 14240097536 226.340255
0 apt181.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000002 60000001502 1596864245 52521237027 0 584379234 160272020 0 111650182 111650182 7975013 14291223296 227.152877
0 apt160.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000002 60000001806 2189050422 52345783578 0 547790056 158707797 0 116735850 116735850 8338275 14942188800 237.499695
0 apt137.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000007 60000007117 1361396061 53504604147 0 478692282 139227519 0 101156804 101156804 7225486 12948070912 205.804045
0 apt192.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000006 60000005635 1510136176 52813135513 0 501085373 153693355 0 111548346 111548346 7967739 14278188288 226.945691
0 apt164.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000012 60000011812 1620003024 54257115368 0 438216279 122055856 0 115219174 115219174 8229941 14748054272 234.414010
