timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000266327,1055.54528809,1058.68035889,4983.12774658
3.000432432,203.509155273,203.427856445,237.248046875
4.000600998,410.286499023,410.475158691,430.222717285
5.000753127,414.649658203,414.816101074,432.817443848
6.000925020,198.715637207,198.822143555,235.192260742
7.001109330,208.453613281,206.544311523,219.952087402
8.001291377,82.8094482422,81.9014282227,99.8896484375
9.001968906,191.394958496,191.473449707,224.555969238
10.002134152,408.641601562,408.584533691,427.649719238
11.002308574,186.082580566,186.284179688,219.62487793
12.002471746,249.256408691,250.218933105,285.022338867
13.002635563,404.262939453,404.168701172,423.74230957
14.002799714,183.007202148,183.122741699,216.572143555
15.002963171,659.997558594,658.300720215,678.628723145
16.003148059,437.352294922,437.047180176,881.862792969
17.003327212,468.321838379,464.369995117,3907.16119385
18.003511804,466.914489746,462.87310791,3912.51660156
19.003705396,467.678588867,463.618286133,3912.35852051
20.003888810,466.169433594,462.327941895,3907.59527588
21.004071845,466.161499023,461.684997559,3904.71057129
22.004251597,467.038574219,462.702453613,3910.86706543
23.004431785,466.431884766,463.085144043,3912.57373047
24.004613240,467.218811035,463.413391113,3905.44500732
25.004791622,466.91394043,463.390136719,3912.84710693
26.004977494,467.083068848,463.466186523,3908.24334717
27.005157484,467.362670898,463.46661377,3916.8862915
28.005341686,467.250610352,463.064147949,3911.01348877
29.005521258,465.507873535,462.194763184,3909.82531738
30.005719678,467.511413574,463.62902832,3901.25469971
31.005901096,466.97088623,463.26171875,3907.11303711
32.006081431,467.514221191,463.682250977,3916.82635498
33.006258942,465.368041992,461.79296875,3902.03198242
34.006432881,467.283203125,463.720947266,3914.62768555
35.006607471,469.297180176,466.025817871,3923.19372559
36.006784255,468.422729492,464.542907715,3912.09106445
37.006961025,466.921264648,462.766418457,3910.18145752
38.007156571,468.853942871,464.842895508,3914.01739502
39.007336048,469.881774902,466.324462891,3920.76422119
40.007518206,470.232910156,465.478820801,3909.25646973
41.007700973,471.058776855,467.124816895,3922.1161499
42.007879716,466.03503418,462.691650391,3910.09265137
43.008051854,467.615722656,464.285644531,3915.70300293
44.008226279,468.023620605,464.192016602,3920.62121582
45.008407619,467.192260742,462.225830078,3915.79547119
46.008621285,468.421630859,464.856018066,3907.45501709
47.008803945,467.709960938,463.897338867,3916.2835083
48.008983700,469.065307617,465.135864258,3913.57836914
49.009166192,466.749755859,462.218322754,3908.73162842
50.009349489,467.767883301,463.346557617,3914.60827637
51.009524424,466.606079102,462.355651855,3898.83886719
52.009700928,466.733154297,462.98840332,3902.89068604
53.009875004,468.542053223,465.359313965,3919.13946533
54.010065841,467.540100098,463.202575684,3906.33349609
55.010237627,468.202026367,464.177978516,3918.92944336
56.010414060,469.334716797,465.498779297,3918.262146
57.010591202,468.087036133,464.174072266,3925.33178711
58.010771521,466.838562012,462.879516602,3906.21984863
59.010952930,467.295043945,463.227294922,3909.08239746
60.011131023,465.907836914,462.000610352,3907.07855225
61.011311446,466.925537109,462.782592773,3916.19909668
62.011543847,465.734375,461.81640625,3903.00244141
63.011725406,466.836791992,462.646240234,3900.47381592
64.011907533,467.705932617,464.531188965,3917.1060791
65.012087529,466.927490234,463.142272949,3905.51269531
66.012268277,467.121276855,463.261901855,3916.53826904
67.012451581,467.539428711,463.888793945,3913.20483398
68.012647081,466.882324219,462.535888672,3913.29937744
69.012828897,465.243408203,461.362670898,3905.72668457
70.013011701,465.748352051,461.471740723,3905.37701416
71.013191818,468.251159668,464.278930664,3917.45855713
72.013370298,464.982055664,461.002807617,3906.72424316
73.013566684,465.422058105,461.221679688,3899.51019287
74.013701697,466.995544434,463.684020996,3914.5279541
75.014044656,469.318847656,465.386108398,3912.85864258
76.014772754,2164.59832764,2163.97094727,4978.49523926
77.015005867,833.333618164,924.848083496,1390.04248047
78.015233430,3.61193847656,3.59924316406,14.6743164062
79.015469383,2.6376953125,2.63446044922,10.701965332
79.015469383,0.135314941406,0.165283203125,2.91351318359
