copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt172.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000001 60000001118 1634858803 47797574182 6338688203 0 126172307 0 101540565 0 6769371 12997192320 206.584808
1 apt160.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000019 60000018586 1254251472 49601469251 5421783365 0 108439261 0 87034605 0 5802307 11140429440 177.072357
1 apt168.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000004 60000003941 1616212939 47239635162 6619574413 0 132253855 0 106853715 0 7123581 13677275520 217.394440
1 apt185.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000009 60000008746 875461809 48207961097 6243184901 0 125729476 0 101027625 0 6735175 12931536000 205.541229
1 apt192.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000015 60000015181 975905636 47394615147 6642957264 0 134186543 0 107734290 0 7182286 13789989120 219.185974
1 apt141.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000017 60000016936 1416184892 48739369056 5809161844 0 117255041 0 93857250 0 6257150 12013728000 190.953064
1 apt178.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000019 60000019283 954748504 47640607638 6505751918 0 131552628 0 106095975 0 7073065 13580284800 215.852814
1 apt154.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000026 60000026117 1391733158 48935050264 5727152450 0 114763609 0 92088210 0 6139214 11787290880 187.353943
1 apt187.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000028 60000028210 1404538901 48113299137 6255852551 0 123290339 0 99854820 0 6656988 12781416960 203.155151
1 apt190.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000030 60000030429 972431630 48164746709 6223354455 0 125457058 0 100689720 0 6712648 12888284160 204.853760
1 apt164.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000036 60000035607 906807184 52558799037 3293673014 0 85069450 0 86716470 0 5781098 11099708160 176.425110
1 apt189.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000002 60000001823 1626106465 47064902774 6719074322 0 134594584 0 107917170 0 7194478 13813397760 219.558044
1 apt137.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000007 60000006903 836491127 48983086986 5740361537 0 117535281 0 93958890 0 6263926 12026737920 191.159851
1 apt181.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000018 60000018363 989385254 47833311863 6394712628 0 130441191 0 99320850 0 6621390 12713068800 202.068787
1 apt159.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000022 60000022331 790865021 49638412243 5439863512 0 110086860 0 88373985 0 5891599 11311870080 179.797333
