copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt181.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000001 60000000636 775908989 54975825091 0 371931676 70972623 0 107120130 107120130 3570671 13711376640 217.936462
0 apt192.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000012 60000011662 720928567 55232356406 0 332349111 67420079 0 109679250 109679250 3655975 14038944000 223.143005
0 apt190.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000024 60000024128 740875198 55236872689 0 348267234 67895645 0 110895930 110895930 3696531 14194679040 225.618347
0 apt178.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000002 60000001586 722309236 55312024673 0 330369639 67236349 0 108998100 108998100 3633270 13951756800 221.757202
0 apt189.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000025 60000025191 727343650 55227605403 0 339959008 67085337 0 109738170 109738170 3657939 14046485760 223.262878
0 apt187.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000006 60000006031 705779506 55370985733 0 331744640 66751781 0 108088140 108088140 3602938 13835281920 219.905884
0 apt159.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000007 60000007441 733195995 55239569283 0 339070141 68098937 0 108940380 108940380 3631346 13944368640 221.639771
0 apt137.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000042 60000042174 715888847 55288719809 0 331674367 66751044 0 108315120 108315120 3610504 13864335360 220.367676
0 apt160.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000043 60000043370 743726710 55270972301 0 336153488 67627229 0 108963870 108963870 3632129 13947375360 221.687561
0 apt168.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000069 60000068858 711991034 55344579551 0 327788468 66715236 0 108910230 108910230 3630341 13940509440 221.578430
0 apt172.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000070 60000070259 750606784 55267280759 0 339715576 67516190 0 110876790 110876790 3695893 14192229120 225.579407
0 apt141.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000032 60000031528 723159769 55264696282 0 341455665 66248709 0 108162840 108162840 3605428 13844843520 220.057861
0 apt154.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000070 60000069825 726049150 55202703229 0 347378934 66661812 0 107889180 107889180 3596306 13809815040 219.501099
0 apt185.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000046 60000046217 701640977 55326232509 0 343322976 67349895 0 108217620 108217620 3607254 13851855360 220.169312
0 apt164.apt.emulab.net 30 128 0 0 60.000000 5.000000 60.000027 60000026923 499787253 56354035064 0 271106691 54816145 0 109625340 109625340 3654178 14032043520 223.033325
