copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt185.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000000 60000000329 711532391 54974151452 0 350368405 64918622 0 111488992 111488992 3484031 14270590976 226.824935
0 apt137.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000004 60000003617 715875275 55151738277 0 347144916 64184459 0 111233728 111233728 3476054 14237917184 226.305599
0 apt189.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000080 60000080325 745935630 55166388537 0 351761934 64539967 0 112715840 112715840 3522370 14427627520 229.320964
0 apt164.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000023 60000022807 494242015 56314367632 0 269283220 51982541 0 112423488 112423488 3513234 14390206464 228.726172
0 apt172.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000024 60000023787 748034298 54976633245 0 364148836 65099444 0 114061536 114061536 3564423 14599876608 232.058789
0 apt168.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000025 60000025314 716906533 55151709183 0 372646430 64296256 0 112138816 112138816 3504338 14353768448 228.147005
0 apt192.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000038 60000037630 729640391 55154830197 0 356720165 64976556 0 112780864 112780864 3524402 14435950592 229.453255
0 apt187.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000040 60000039910 710539313 55020256752 0 342504560 64353576 0 111279424 111279424 3477482 14243766272 226.398568
0 apt160.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000050 60000050478 755851145 54957552355 0 353656479 65058012 0 112103552 112103552 3503236 14349254656 228.075260
0 apt181.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000060 60000059899 776889951 54861413683 0 377001020 68320440 0 110147296 110147296 3442103 14098853888 224.095247
0 apt141.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000075 60000075471 719585843 55124475617 0 363989266 63738140 0 111118784 111118784 3472462 14223204352 226.071745
0 apt178.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000039 60000038725 719683330 55144847666 0 359317918 64620690 0 112128192 112128192 3504006 14352408576 228.125391
0 apt159.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000056 60000055693 752136369 54922180116 0 351171099 65550246 0 112098880 112098880 3503090 14348656640 228.065755
0 apt154.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000046 60000046085 737825895 55077993935 0 362457785 64335475 0 110833024 110833024 3463532 14186627072 225.490365
0 apt190.apt.emulab.net 32 128 0 0 60.000000 5.000000 60.000024 60000023596 752378585 54935893309 0 359388087 65484850 0 114076032 114076032 3564876 14601732096 232.088281
